place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
acholla;;ap#1;#118;afrpro#01;amphitheater;hadrianic;90;86;6078.98;;;2459.86;;;3619.12;11630;tunisia;35.075962;11.018944;3;2019_hackett
acholla;;ap#1;#118;afrpro#01;amphitheater;hadrianic;90;86;6080;58;54;2460;16;;3620;6300;tunisia;35.075962;11.018944;3;2013_bomgardner
acholla;;ap#1;#118;afrpro#01;amphitheater;hadrianic;72;56;3167;48;32;1206;12;;1961;6300;tunisia;35.075962;11.018944;3;2013_golvin
acholla;;ap#1;#118;afrpro#01;amphitheater;hadrianic;72;56;;48;32;;;;;;tunisia;35.075962;11.018944;3;1993_golvin
acholla;;ap#1;#118;afrpro#01;amphitheater;hadrianic;90;86;;58;54;;;;3619;;tunisia;35.075962;11.018944;3;2016_stelius
acholla;;ap#1;#118;afrpro#01;amphitheater;hadrianic;90;86;;58;54;;;;;11600;tunisia;35.075962;11.018944;3;2016_sfsheath_com
acholla;;ap#1;#118;afrpro#01;amphitheater;hadrianic;72;56;;48;32;;;;;;tunisia;35.075962;11.018944;3;2011_amphitheatrum_de
agbia;;ap#2;#64;afrpro#02;amphitheater;severan;57;42;1880;43;28;946;14;;934;3000;tunisia;36.391031;9.230632;425;2013_bomgardner
agbia;;ap#2;#64;afrpro#02;amphitheater;severan;57;42;1880.24;;;945.61;;;934.63;3004;tunisia;36.391031;9.230632;425;2019_hackett
agbia;;ap#2;#64;afrpro#02;amphitheater;severan;60;42;;43;28;;14;;;;tunisia;36.391031;9.230632;425;2013_golvin
agbia;;ap#2;#64;afrpro#02;amphitheater;severan;57;42;;43;28;;;;935;;tunisia;36.391031;9.230632;425;2016_stelius
agbia;;ap#2;#64;afrpro#02;amphitheater;severan;57;42;;43;28;;;;;3000;tunisia;36.391031;9.230632;425;2016_sfsheath_com
agbia;;ap#2;#64;afrpro#02;amphitheater;severan;60;;;;;;;;;;tunisia;36.391031;9.230632;425;2011_amphitheatrum_de
bararus;;ap#3;#187;afrpro#03;amphitheater;severan;98;73.5;5657.22;;;1879.06;;;3788.16;12144;tunisia;35.211828;10.791226;68;2019_hackett
bararus;;ap#3;#187;afrpro#03;amphitheater;severan;98;73.5;;63.75;37.5;;17;;;12100;tunisia;35.211828;10.791226;68;2013_bomgardner
bararus;;ap#3;#187;afrpro#03;amphitheater;severan;98;73.5;;63.75;37.5;;18;;;;tunisia;35.211828;10.791226;68;2013_bomgardner
bararus;;ap#3;#187;afrpro#03;amphitheater;severan;98;74;;64;38;;;;3786;;tunisia;35.211828;10.791226;68;2016_stelius
bararus;;ap#3;#187;afrpro#03;amphitheater;severan;98;73.5;;63.75;37.5;;;;;12000;tunisia;35.211828;10.791226;68;2016_sfsheath_com
bararus;;ap#3;#187;afrpro#03;amphitheater;severan;98;73.5;;63.75;37.5;;;;;;tunisia;35.211828;10.791226;68;2011_amphitheatrum_de
carthago;phs_i;ap#5;#95;afrpro#05;amphitheater;augustan;120;93;8765.04;;;1864.92;;;6900.12;22179;tunisia;36.856078;10.314924;14;2019_hackett
carthago;phs_i;ap#5;#95;afrpro#05;amphitheater;augustan;120;93;8765;64.66;36.7;1860;27;;6905;22000;tunisia;36.856078;10.314924;14;2013_bomgardner
carthago;phs_i;ap#5;#95;afrpro#05;amphitheater;augustan;120;93;;65;37;;;;6876;;tunisia;36.856078;10.314924;14;2016_stelius
carthago;phs_i;ap#5;#95;afrpro#05;amphitheater;augustan;120;93;;64;36;;;;;30000;tunisia;36.856078;10.314924;14;2016_sfsheath_com
carthago;phs_ii;ap#6;#174;afrpro#06;amphitheater;2nd_century;156;128;15682.83;;;1864.92;;;13817.91;44415;tunisia;36.856078;10.314924;14;2019_hackett
