place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
isca_augusta;;brit#1;#108;britsup#01;amphitheater;flavian;;;;56.1;41.6;;;;;;wales;51.6080589;-2.956878;10;2009_sommer
isca_augusta;;brit#1;#108;britsup#01;amphitheater;flavian;;;;43.5;36.3;;;;;;wales;51.6080589;-2.956878;10;2008_wilmott
isca_augusta;;brit#1;#108;britsup#01;amphitheater;flavian;80;67;;55;41;;;;2439;;wales;51.6080589;-2.956878;10;2016_stelius
isca_augusta;;brit#1;#108;britsup#01;amphitheater;flavian;81.38;67.67;4189.83;;;1832.27;;;2357.56;7578;wales;51.6080589;-2.956878;10;2019_hackett
isca_augusta;;brit#1;#108;britsup#01;amphitheater;flavian;80;63;;;;;;;;;wales;51.6080589;-2.956878;10;2005_encina
isca_augusta;;brit#1;#108;britsup#01;amphitheater;flavian;81.38;67.67;;56.08;41.6;;;;;;wales;51.6080589;-2.956878;10;2011_amphitheatrum_de
isca_augusta;;brit#1;#108;britsup#01;amphitheater;flavian;80;66;;55;41;;;;;;wales;51.6080589;-2.956878;10;2016_sfsheath_com
venta_silurum;;brit#2;#128;britsup#02;amphitheater;flavian;63;53;;44;35;;;;1413;;wales;51.612173;-2.766307;26;2016_stelius
venta_silurum;;brit#2;#128;britsup#02;amphitheater;flavian;63;53;2622.44;;;1209.51;;;1412.93;4542;wales;51.612173;-2.766307;26;2019_hackett
venta_silurum;;brit#2;#128;britsup#02;amphitheater;flavian;;;;43.5;36;;;;;;wales;51.612173;-2.766307;26;2008_wilmott
venta_silurum;;brit#2;#128;britsup#02;amphitheater;flavian;63;53;;44;35;;;;;;wales;51.612173;-2.766307;26;2016_sfsheath_com
venta_icenorum;;brit#3;;britsup#03;gallo_roman;principate;;;;40;33;;;;;;england;52.579764;1.288445;7;2008_wilmott
venta_icenorum;;brit#3;;britsup#03;gallo_roman;principate;;;;;;1036.72;;;;;england;52.579764;1.288445;7;2019_hackett
venta_icenorum;;brit#3;;britsup#03;gallo_roman;principate;48;42;;38;32;;;;;;england;52.579764;1.288445;7;2011_amphitheatrum_de
moridunum_demetarum;;brit#4;;britsup#04;amphitheater;late_1st;91;67;4788.57;;;1178.09;;;3610.48;11605;wales;51.862005;-4.296651;27;2019_hackett
moridunum_demetarum;;brit#4;;britsup#04;amphitheater;late_1st;91;67;;50;30;;;;;;wales;51.862005;-4.296651;27;2008_wilmott
moridunum_demetarum;;brit#4;;britsup#04;amphitheater;late_1st;;;;24.5;16.5;;;;;;wales;51.862005;-4.296651;27;2011_amphitheatrum_de
moridunum_demetarum;;brit#4;;britsup#04;amphitheater;late_1st;92;67;;46;27;;;;;;wales;51.862005;-4.296651;27;2019_perseus_edu
charterhouse_on_mendip;;brit#5;;britsup#05;amphitheater;claudian;70;61;;32;24.4;;;;;;england;51.305437;-2.720301;294;2011_amphitheatrum_de
charterhouse_on_mendip;;brit#5;;britsup#05;amphitheater;claudian;50;39;;32;24;;;;;2179;england;51.305437;-2.720301;294;2016_sfsheath_com
charterhouse_on_mendip;;brit#5;;britsup#05;amphitheater;claudian;71.62;61;;32;24.38;;;;;;england;51.305437;-2.720301;294;2008_wilmott
