place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
ptolemais;;;#76;crcy#01;amphitheater;late_2nd;89;86;6011;47.5;44.5;1660;20.75;;4351;16300;libya ;32.707953;20.945728;14;2013_bomgardner
ptolemais;;;#76;crcy#01;amphitheater;late_2nd;89;86;;47.5;44.5;;;;;;libya ;32.707953;20.945728;14;2011_amphitheatrum_de
ptolemais;;;#76;crcy#01;amphitheater;late_2nd;89;86;;47.5;44.5;;;;;;libya ;32.707953;20.945728;14;2009_dodge
ptolemais;;;#76;crcy#01;amphitheater;late_2nd;89;86;;47.5;44.5;;;;;10878;libya ;32.707953;20.945728;14;2011_amphitheatrum_de
gortyna;;;;crcy#02;amphitheater;2nd_century;;;;68;39;;;;;;greece;35.056454;24.953076;149;2009_dodge
gortyna;;;;crcy#02;amphitheater;2nd_century;85;;;;;;;;;;greece;35.056454;24.953076;149;2016_sfsheath_com
cyrene;;;;crcy#03;amphitheater;2nd_century;;;;32.7;28.8;;;;;;libya ;32.824526;21.850808;534;2016_sfsheath_com
cyrene;;;;crcy#03;amphitheater;2nd_century;;;;32.67;28.21;;;;;;libya ;32.824526;21.850808;534;2011_amphitheatrum_de
cyrene;;;;crcy#03;amphitheater;2nd_century;;;;32.67;28.21;;;;;;libya ;32.824526;21.850808;534;2000_ensoli
bengasi_berenike;;;;crcy#04;amphitheater;1st_century;;;;;;;;;;;libya ;;;;2009_dodge
hierapytna;;;;crcy#05;amphitheater;undated;;;;;;;;;;;greece;;;;2009_dodge
