place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
porolissium;phs_i;;#39;daci#01;amphitheater;trajanic;;;;60;;;;;;;romania;47.177552;23.154052;439;2009_dodge
porolissium;phs_i;;#39;daci#01;amphitheater;trajanic;;;;60;46;;;;;;romania;47.177552;23.154052;439;2011_amphitheatrum_de
porolissum;phs_i;;#39;daci#01;amphitheater;trajanic;;;;60;46;;;;;;romania;47.177552;23.154052;439;2009_sommer
porolissium;phs_ii;;#39;daci#01;amphitheater;trajanic;84;75;;64;52;;;;;;romania;47.177552;23.154052;439;2016_sfsheath_com
porolissium;phs_ii;;#39;daci#01;amphitheater;trajanic;;;;66.5;51.8;;;;;;romania;47.177552;23.154052;439;2011_amphitheatrum_de
sarmizegetusa;;;;daci#02;amphitheater;early_2nd;;;;66;47;;;;;;romania;45.51667729;22.785320599;489;2009_dodge
sarmizegetusa;;;;daci#02;amphitheater;early_2nd;88;69;;66;47;;;;;;romania;45.51667729;22.785320599;489;2016_sfsheath_com
micia;;;;daci#03;amphitheater;hadrianic;;;;31.6;29.5;;;;;;romania;45.915008;22.81731;183;2009_sommer
micia;;;;daci#03;amphitheater;hadrianic;;;;31.6;29.5;;;;;;romania;45.915008;22.81731;183;2009_dodge
micia;;;;daci#03;amphitheater;hadrianic;56;37;;44;26;;;;;1500;romania;45.915008;22.81731;183;2016_sfsheath_com
