place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
aginnum;;ga#1;;galaqu#01;amphitheater;julio_claudian;;;;67;50;;;;;;france;44.206545;0.622122;49;1992_bizot
aginnum;;ga#1;;galaqu#01;amphitheater;julio_claudian;115;92.5;8354.67;;;1195.76;;;7158.91;23011;france;44.206545;0.622122;49;2019_hackett
aginnum;;ga#1;;galaqu#01;amphitheater;julio_claudian;120;95;;;;;;;;;france;44.206545;0.622122;49;2016_stelius
aginnum;;ga#1;;galaqu#01;amphitheater;julio_claudian;82;74;;43.5;35;;;;;;france;44.206545;0.622122;49;1984_berthault
aginnum;;ga#1;;galaqu#01;amphitheater;julio_claudian;;;;;;;;;;15000;france;44.206545;0.622122;49;2016_sfsheath_com
neris_aquaeneri_i;;ga#2;#20;galaqu#02;amphitheater;1st_century;70;50;2748.89;;;1178.09;;;1570.8;5049;france;46.289883;2.658423;356;2019_hackett
neris_aquaeneri_i;;ga#2;#20;galaqu#02;amphitheater;1st_century;71;50;;50;30;;;;1610;;france;46.289883;2.658423;356;2016_stelius
neris_aquaeneri_i;;ga#2;#20;galaqu#02;amphitheater;1st_century;70;50;;50;30;;;;;3926;france;46.289883;2.658423;356;2016_sfsheath_com
neris_aquaeneri_ii;;ga#3;;galaqu#03;amphitheater;1st_century;;;4582.3;;;1382.3;;;3200;10286;france;46.289883;2.658423;356;2019_hackett
argentomagus;;ga#4;;galaqu#04;gallo_roman;flavian;;;3780;;;380;;;3400;10929;france;46.59888889;1.50944444;136;2019_hackett
argentomagus;;ga#4;;galaqu#04;gallo_roman;flavian;100;80;;;;;;;;;france;46.59888889;1.50944444;136;2011_amphitheatrum_de
argentomagus;;ga#4;;galaqu#04;gallo_roman;flavian;100;80;;;;;;;;;france;46.59888889;1.50944444;136;2020_argentomagus_fr
augustoritum_lemovicum;;ga#5;;galaqu#05;amphitheater;early_2nd;137;116;12481.54;;;2563.53;;;9918.01;31879;france;45.831111;1.250833;302;2019_hackett
augustoritum_lemovicum;;ga#5;;galaqu#05;amphitheater;early_2nd;137;116;;68;48;;;;9918;;france;45.831111;1.250833;302;2016_stelius
augustoritum_lemovicum;;ga#5;;galaqu#05;amphitheater;early_2nd;137;116;;68;48;;;;;;france;45.831111;1.250833;302;2011_amphitheatrum_de
augustoritum_lemovicum;;ga#5;;galaqu#05;amphitheater;early_2nd;137;113;;;;;;;;;france;45.831111;1.250833;302;1970_clavel
augustoritum_lemovicum;;ga#5;;galaqu#05;amphitheater;early_2nd;138;116;;;;;;;;;france;45.831111;1.250833;302;1981_benario
augustoritum_lemovicum;;ga#5;;galaqu#05;amphitheater;early_2nd;137;113;;;;;;;;;france;45.831111;1.250833;302;1870_caumont
augustoritum_lemovicum;;ga#5;;galaqu#05;amphitheater;early_2nd;138.2;116.4;;;;;;;;20000;france;45.831111;1.250833;302;2020_wikipedia_fr
avaricum;;ga#6;;galaqu#06;amphitheater;late_1st;108;70;;;;;;;;;france;47.083611;2.396111;154;2016_sfsheath_com
burdigala;;ga#7;#188;galaqu#07;amphitheater;early_2nd;119.88;100.34;;69.26;48.84;;;;;;france;44.847382;-0.582476;7;1870_caumont
burdigala;;ga#7;#188;galaqu#07;amphitheater;early_2nd;133;110;;;;;;;;;france;44.847382;-0.582476;7;1970_clavel
burdigala;;ga#7;#188;galaqu#07;amphitheater;early_2nd;132.5;110.6;11483.55;;;2560.13;;;8923.42;17200;france;44.847382;-0.582476;7;2019_hackett
burdigala;;ga#7;#188;galaqu#07;amphitheater;early_2nd;132;111;;70;47;;;;8924;;france;44.847382;-0.582476;7;2016_stelius
burdigala;;ga#7;#188;galaqu#07;amphitheater;early_2nd;132.3;110.6;;69.8;46.7;;;;;;france;44.847382;-0.582476;7;1981_benario
burdigala;;ga#7;#188;galaqu#07;amphitheater;early_2nd;132.3;110.6;;69.8;46.7;;;;;22130;france;44.847382;-0.582476;7;2016_sfsheath_com
burdigala;;ga#7;#188;galaqu#07;amphitheater;early_2nd;132;111;;70;47;;;;;22000;france;44.847382;-0.582476;7;2020_wikipedia_fr
cassinomagus;;ga#8;;galaqu#08;gallo_roman;hadrianic;;;;;;1885;;;;;france;45.850556;0.768611;216;2019_hackett
cassinomagus;;ga#8;;galaqu#08;gallo_roman;hadrianic;60;40;;;;;;;;;france;45.850556;0.768611;216;2016_sfsheath_com
cassinomagus;;ga#8;;galaqu#08;gallo_roman;hadrianic;60;40;;;;;;;;;france;45.850556;0.768611;216;2011_amphitheatrum_de
cassinomagus;;ga#8;;galaqu#08;gallo_roman;hadrianic;60;40;;;;;;;;;france;45.850556;0.768611;216;1848_michon
cassinomagus;;ga#8;;galaqu#08;gallo_roman;hadrianic;70;50;;;;;;;;;france;45.850556;0.768611;216;2007_masfrand
cassinomagus;;ga#8;;galaqu#08;gallo_roman;hadrianic;80;80;;;;;;;;;france;45.850556;0.768611;216;2020_wikipedia_fr
catiriacum;;ga#9;;galaqu#09;gallo_roman;hadrianic;;;2287.78;;;527.78;;;1760;5657;france;;;;2019_hackett
limonum_pictonum;;ga#10;;galaqu#10;gallo_roman;julio_claudian;138;115;;;;;;;;;france;46.57815;0.339589;117;2016_stelius
limonum_pictonum;;ga#10;;galaqu#10;gallo_roman;julio_claudian;155;130;;;41;;;;;30000;france;46.57815;0.339589;117;2018_lumeau
limonum_pictonum;;ga#10;;galaqu#10;gallo_roman;julio_claudian;155;;;86;68;;;;;;france;46.57815;0.339589;117;1970_clavel
limonum_pictonum;;ga#10;;galaqu#10;gallo_roman;julio_claudian;155.8;130.5;15968.63;;;2668.86;;;13299.77;42749;france;46.57815;0.339589;117;2019_hackett
limonum_pictonum;;ga#10;;galaqu#10;gallo_roman;julio_claudian;138;115;;86;68;;;;;;france;46.57815;0.339589;117;1981_benario
limonum_pictonum;;ga#10;;galaqu#10;gallo_roman;julio_claudian;137.34;111;;78.14;62.16;;;;;;france;46.57815;0.339589;117;1870_caumont
limonum_pictonum;;ga#10;;galaqu#10;gallo_roman;julio_claudian;108;88;;;;;;;;;france;46.57815;0.339589;117;2016_sfsheath_com
limonum_pictonum;;ga#10;;galaqu#10;gallo_roman;julio_claudian;155.8;130.5;;72.3;47;;;;;33250;france;46.57815;0.339589;117;1986_golvin
lugdunum_convenarum;;ga#11;;galaqu#11;gallo_roman;julio_claudian;83;55;3585.34;;;1077.69;;;2507.65;8060;france;43.02821;0.572074;470;2019_hackett
lugdunum_convenarum;;ga#11;;galaqu#11;gallo_roman;julio_claudian;83;55;;54;26;;;;2483;;france;43.02821;0.572074;470;2016_stelius
mediolanum_santonum;;ga#12;#100;galaqu#12;gallo_roman;claudian;126;102;;;;;;;;;france;45.7453926;-0.6433512;12;1970_clavel
