place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
augusta_treverorum;;gb#1;#41;galbel#01;amphitheater;trajanic;100;79;6204.64;;;2707.62;;;3497.02;11240;germany;49.748052;6.649088;159;2019_hackett
augusta_treverorum;;gb#1;#41;galbel#01;amphitheater;trajanic;143;122;;71;49;;;;10970;;germany;49.748052;6.649088;159;2016_stelius
augusta_treverorum;;gb#1;#41;galbel#01;amphitheater;trajanic;145;102;;75;50;;;;;;germany;49.748052;6.649088;159;1981_benario
augusta_treverorum;;gb#1;#41;galbel#01;amphitheater;trajanic;140;120;;;;;;;;;germany;49.748052;6.649088;159;1970_clavel
augusta_treverorum;;gb#1;#41;galbel#01;amphitheater;trajanic;100;79;;;;;;;;;germany;49.748052;6.649088;159;1993_golvin
augusta_treverorum;;gb#1;#41;galbel#01;amphitheater;trajanic;142.62;122.4;;;;;;;;;germany;49.748052;6.649088;159;1993_bomgardner
augusta_treverorum;;gb#1;#41;galbel#01;amphitheater;trajanic;100;79;;70.54;48.92;;;;;8742;germany;49.748052;6.649088;159;2016_sfsheath_com
augusta_treverorum;;gb#1;#41;galbel#01;amphitheater;trajanic;140;120;;;;;;;;;germany;49.748052;6.649088;159;1981_honle
augusta_treverorum;;gb#1;#41;galbel#01;amphitheater;trajanic;;;;75;50;;;;;25000;germany;49.748052;6.649088;159;2020_wikipedia_fr
augusta_treverorum;;gb#1;#41;galbel#01;amphitheater;trajanic;;;;75;50;;;;;30000;germany;49.748052;6.649088;159;2020_wikipedia_fr
champlieu;;gb#2;;galbel#02;gallo_roman;hadrianic;;;2989;;;490.87;;;930;2989;france;49.309114;2.854276;135;2019_hackett
divodurum_mediomatricorum;;gb#3;;galbel#03;amphitheater;flavian;148;124;;;;;;;;;france;49.107645;6.181932;171;1970_clavel
divodurum_mediomatricorum;;gb#3;;galbel#03;amphitheater;flavian;148;124;;65;41;;;;12321;;france;49.107645;6.181932;171;2016_stelius
divodurum_mediomatricorum;;gb#3;;galbel#03;amphitheater;flavian;150;124;;;;;;;;;france;49.107645;6.181932;171;1981_benario
divodurum_mediomatricorum;;gb#3;;galbel#03;amphitheater;flavian;148;124.3;14448.49;;;2121.87;;;12326.62;39621;france;49.107645;6.181932;171;2019_hackett
divodurum_mediomatricorum;;gb#3;;galbel#03;amphitheater;flavian;148;125;;;;;;;;30000;france;49.107645;6.181932;171;2016_sfsheath_com
divodurum_mediomatricorum;;gb#3;;galbel#03;amphitheater;flavian;148;124;;65;41;;;;;25000;france;49.107645;6.181932;171;2020_wikipedia_fr
andesina_grand;;gb#4;;galbel#04;gallo_roman;late_1st;;;6466.59;;;1366.59;;;5100;16393;france;48.385;5.491111;370;2019_hackett
andesina_grand;;gb#4;;galbel#04;gallo_roman;late_1st;179;;;50;41;;;;;17000;france;48.385;5.491111;370;2016_sfsheath_com
andesina_grand;;gb#4;;galbel#04;gallo_roman;late_1st;;;;50.8;34;;;;;;france;48.385;5.491111;370;2011_amphitheatrum_de
andesina_grand;;gb#4;;galbel#04;gallo_roman;late_1st;137;;;50;34;;;;;;france;48.385;5.491111;370;1970_clavel
andesina_grand;;gb#4;;galbel#04;gallo_roman;late_1st;148;64.5;;50.8;34;;;;;16000;france;48.385;5.491111;370;2020_wikipedia_fr
