place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
alleaume_alauna;;gl#1;;gallug#01;gallo_roman;hadrianic;;;2590.87;;;490.87;;;2100;6750;france;;;;2019_hackett
baugy_alleants;;gl#2;;gallug#02;gallo_roman;hadrianic;;;2572.55;;;572.55;;;2000;6429;france;;;;2019_hackett
aquae_segetae;;gl#3;;gallug#03;gallo_roman;late_1st;;;;;;;;;;;france;48.116778;2.623225;85;2019_hackett
aquae_segetae;;gl#3;;gallug#03;gallo_roman;late_1st;108;90;;48.3;31.8;;;;;;france;48.116778;2.623225;85;1981_benario
vieux_aregenua;;gl#4;;gallug#04;gallo_roman;hadrianic;;;3224.66;;;824.66;;;2400;7714;france;49.106979;-0.431935;52;2019_hackett
areines;;gl#5;;gallug#05;gallo_roman;late_1st;;;2530.92;;;530.92;;;2000;6429;france;47.798623;1.087358;80;2019_hackett
augustodunum;;gl#6;#157;gallug#06;gallo_roman;flavian;154;130;;74;49;;;;;;france;46.952763;4.310027;316;2016_sfsheath_com
augustodunum;;gl#6;#157;gallug#06;gallo_roman;flavian;154;130;15723.67;;;2847.85;;;12875.82;41387;france;46.952763;4.310027;316;2019_hackett
augustodunum;;gl#6;#157;gallug#06;gallo_roman;flavian;154;130;;74;49;;;;12876;;france;46.952763;4.310027;316;2016_stelius
augustodunum;;gl#6;#157;gallug#06;gallo_roman;flavian;154;130;;74;49;;;;;;france;46.952763;4.310027;316;1970_clavel
augustodunum;;gl#6;#157;gallug#06;gallo_roman;flavian;154;130;;74;49;;;;;;france;46.952763;4.310027;316;1981_benario
augustomagus_sylvanectum;;gl#7;;gallug#07;amphitheater;augustan;90;83;;41.5;34.45;;;;;;france;49.205169;2.575376;60;2016_sfsheath_com
augustomagus_sylvanectum;;gl#7;;gallug#07;amphitheater;augustan;90;83;5866.92;;;1124.49;;;4742.43;15244;france;49.205169;2.575376;60;2019_hackett
