place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
arelate;;gn#1;#154;galnar#01;amphitheater;flavian;136.2;107.6;11510.1;;;2166.23;;;9343.87;30034;france;43.677778;4.631111;15;2019_hackett
arelate;;gn#1;#154;galnar#01;amphitheater;flavian;136;108;;69;40;;;;9368;;france;43.677778;4.631111;15;2016_stelius
arelate;;gn#1;#154;galnar#01;amphitheater;flavian;136.2;16.8;;69.1;39.7;;;;;;france;43.677778;4.631111;15;1981_benario
arelate;;gn#1;#154;galnar#01;amphitheater;flavian;136;107;;69;39;;;;;;france;43.677778;4.631111;15;1970_clavel
arelate;;gn#1;#154;galnar#01;amphitheater;flavian;137;109;;69;40;;29;;;21000;france;43.677778;4.631111;15;2008_foucras
arelate;;gn#1;#154;galnar#01;amphitheater;flavian;136.13;107.62;2145;69.86;39.12;9356;34;;11501;33400;france;43.677778;4.631111;15;2013_bomgardner
arelate;;gn#1;#154;galnar#01;amphitheater;flavian;136;107;;47;32;;;;;23354;france;43.677778;4.631111;15;2016_sfsheath_com
arelate;;gn#1;#154;galnar#01;amphitheater;flavian;136.13;107.62;;69.26;39.82;;;;;;france;43.677778;4.631111;15;2011_amphitheatrum_de
arelate;;gn#1;#154;galnar#01;amphitheater;flavian;136;107;;69;38.34;;;;;;france;43.677778;4.631111;15;1981_honle
arelate;;gn#1;#154;galnar#01;amphitheater;flavian;136;107;;65;40;;;;;25000;france;43.677778;4.631111;15;2020_wikipedia_fr
arelate;;gn#1;#154;galnar#01;amphitheater;flavian;136.2;107.6;;69.3;39.8;;;;;;france;43.677778;4.631111;15;1993_wilson
arelate;;gn#1;#154;galnar#01;amphitheater;flavian;134.5;106.2;;;;;;;;;france;43.677778;4.631111;15;1993_wilson
baeterrae;;gn#2;;galnar#02;amphitheater;flavian;110;90;;;;;;;;15000;france;43.339589;3.214026;40;2008_foucras
baeterrae;;gn#2;;galnar#02;amphitheater;flavian;103.6;74;;59.2;44.4;;;;;;france;43.339589;3.214026;40;1970_clavel
baeterrae;;gn#2;;galnar#02;amphitheater;flavian;;;;70;60;;;;;;france;43.339589;3.214026;40;1970_clavel
baeterrae;;gn#2;;galnar#02;amphitheater;flavian;86;70;;;;;;;;;france;43.339589;3.214026;40;1970_clavel
baeterrae;;gn#2;;galnar#02;amphitheater;flavian;76;58.5;;;;;;;;;france;43.339589;3.214026;40;1970_clavel
baeterrae;;gn#2;;galnar#02;amphitheater;flavian;105;75;;60;45;;;;;;france;43.339589;3.214026;40;1970_clavel
baeterrae;;gn#2;;galnar#02;amphitheater;flavian;104;74;;74;74;;;;3487;;france;43.339589;3.214026;40;2016_stelius
baeterrae;;gn#2;;galnar#02;amphitheater;flavian;103;74;;60;;;;;;;france;43.339589;3.214026;40;1981_benario
baeterrae;;gn#2;;galnar#02;amphitheater;flavian;103.6;74;6021.17;;;2580.5;;;3440.67;11059;france;43.339589;3.214026;40;2019_hackett
baeterrae;;gn#2;;galnar#02;amphitheater;flavian;108.3;88.6;;;;;;;;15000;france;43.339589;3.214026;40;2020_wikipedia_fr
forum_iulii;;gn#3;;galnar#03;amphitheater;late_1st;114;86;;;;;;;;;france;43.43446;6.72871;6;2016_stelius
forum_iulii;;gn#3;;galnar#03;amphitheater;late_1st;114;82;;68;39;;14;;;9000;france;43.43446;6.72871;6;2008_foucras
forum_iulii;;gn#3;;galnar#03;amphitheater;late_1st;113;82;;67;39;;;;;;france;43.43446;6.72871;6;1970_clavel
forum_iulii;;gn#3;;galnar#03;amphitheater;late_1st;113.7;85.7;7652.99;;;2110.9;;;5542.09;17814;france;43.43446;6.72871;6;2019_hackett
forum_iulii;;gn#3;;galnar#03;amphitheater;late_1st;113.9;82.6;;67.7;39.7;;;;;;france;43.43446;6.72871;6;1981_benario
forum_iulii;;gn#3;;galnar#03;amphitheater;late_1st;113.7;85.7;;67.7;39.7;;;;;20000;france;43.43446;6.72871;6;2016_sfsheath_com
forum_iulii;;gn#3;;galnar#03;amphitheater;late_1st;113;82;;68;39;;;;;10000;france;43.43446;6.72871;6;2011_amphitheatrum_de
forum_iulii;;gn#3;;galnar#03;amphitheater;late_1st;113;82;;68;39;;;;;12000;france;43.43446;6.72871;6;2011_amphitheatrum_de
forum_iulii;;gn#3;;galnar#03;amphitheater;late_1st;113;85;;68;39;;;;;10000;france;43.43446;6.72871;6;2020_wikipedia_fr
forum_iulii;;gn#3;;galnar#03;amphitheater;late_1st;113;85;;68;39;;;;;15000;france;43.43446;6.72871;6;2020_wikipedia_fr
forum_iulii;;gn#3;;galnar#03;amphitheater;late_1st;113.85;82.2;;67.7;39;;;;;12000;france;43.43446;6.72871;6;2020_wikipedia_fr
narbo;;gn#4;;galnar#04;amphitheater;flavian;122;93;;75;47;;;;6143;;france;43.184242;3.014725;6;2016_stelius
narbo;;gn#4;;galnar#04;amphitheater;flavian;121.6;93.2;8901.01;;;2744.96;;;6156.05;19787;france;43.184242;3.014725;6;2019_hackett
narbo;;gn#4;;galnar#04;amphitheater;flavian;121.6;93.2;;75;46.6;;;;;;france;43.184242;3.014725;6;2016_sfsheath_com
narbo;;gn#4;;galnar#04;amphitheater;flavian;121.6;93.2;;75;46.6;;;;;15000;france;43.184242;3.014725;6;2020_wikipedia_fr
nemausus;;gn#5;;galnar#05;amphitheater;flavian;133.4;101.4;;69.1;38.3;;;;;;france;43.834876;4.359599;40;1981_benario
nemausus;;gn#5;;galnar#05;amphitheater;flavian;135;101;;68;37;;29;;;21000;france;43.834876;4.359599;40;2008_foucras
nemausus;;gn#5;;galnar#05;amphitheater;flavian;133;101;;69;38;;;;;;france;43.834876;4.359599;40;1970_clavel
nemausus;;gn#5;;galnar#05;amphitheater;flavian;133;101;;69;38;;;;8491;;france;43.834876;4.359599;40;2016_stelius
nemausus;;gn#5;;galnar#05;amphitheater;flavian;133.38;101.4;2081;69.14;38.34;8536;31.5;;10617;30500;france;43.834876;4.359599;40;2013_bomgardner
nemausus;;gn#5;;galnar#05;amphitheater;flavian;133.4;101.4;;69.1;38.4;;;;;24000;france;43.834876;4.359599;40;2016_sfsheath_com
nemausus;;gn#5;;galnar#05;amphitheater;flavian;133.38;101.4;;69.14;38.34;;;;;;france;43.834876;4.359599;40;2011_amphitheatrum_de
nemausus;;gn#5;;galnar#05;amphitheater;flavian;132.2;101.4;;69;38.34;;;;;;france;43.834876;4.359599;40;1991_honle
nemausus;;gn#5;;galnar#05;amphitheater;flavian;133.38;101.4;;69;38;;;;;25000;france;43.834876;4.359599;40;2020_wikipedia_fr
nemausus;;gn#5;;galnar#05;amphitheater;flavian;133.4;101.4;;69.1;38.4;;;;;;france;43.834876;4.359599;40;1993_wilson
nemausus;;gn#5;;galnar#05;amphitheater;flavian;131.8;100.55;;68.6;37.55;;;;;;france;43.834876;4.359599;40;1993_wilson
tolosa;phs_i;gn#6;;galnar#06;amphitheater;claudian;84;74;;59;49;;;;2611;;france;43.614808;1.397664;146;2016_stelius
tolosa;phs_i;gn#6;;galnar#06;amphitheater;claudian;84;74;4882.03;;;2270.58;;;2611.45;8394;france;43.614808;1.397664;146;2019_hackett
tolosa;phs_ii;gn#7;;galnar#07;amphitheater;claudian;115;;;59;49;;;;;7000;france;43.614808;1.397664;146;2020_wikipedia_fr
