place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
ulpia_traiana;;gerinf#1;#167;gerinf#01;amphitheater;1st_century;98;84;6465.39;;;1852.55;;;4612.84;14827;germany;51.667172;6.451386;20;2019_hackett
ulpia_traiana;;gerinf#1;#167;gerinf#01;amphitheater;1st_century;98;84;;55.5;42.5;;;;;;germany;51.667172;6.451386;20;1993_golvin
ulpia_traiana;;gerinf#1;#167;gerinf#01;amphitheater;1st_century;99;87.5;;;;;;;;;germany;51.667172;6.451386;20;1981_benario
ulpia_traiana;;gerinf#1;#167;gerinf#01;amphitheater;1st_century;;;;55.5;42.5;;;;;;germany;51.667172;6.451386;20;2009_sommer
ulpia_traiana;;gerinf#1;#167;gerinf#01;amphitheater;1st_century;96.5;87;;58.5;49;;;;;10000;germany;51.667172;6.451386;20;2016_sfsheath_com
ulpia_traiana;;gerinf#1;#167;gerinf#01;amphitheater;1st_century;100;88;;;;;;;;12000;germany;51.667172;6.451386;20;1981_honle
ulpia_traiana;;gerinf#1;#167;gerinf#01;amphitheater;1st_century;100;87;;;;;;;;10000;germany;51.667172;6.451386;20;2020_wikipedia_de
noviomagus_batavorum;;gerinf#2;;gerinf#02;amphitheater;early_2nd;;;1884.95;;;;;;;;netherland;51.838523;5.878859;49;2019_hackett
noviomagus_batavorum;;gerinf#2;;gerinf#02;amphitheater;early_2nd;94;82;;58;46;;;;;12000;netherland;51.838523;5.878859;49;2020_wikipedia_nl
castra_vetera;phs_i;gerinf#4;#18;gerinf#03;amphitheater;julio_claudian;65.5;52.5;;47.5;34.5;;;;1428;;germany;51.637517;6.4729;34;1993_bomgardner
castra_vetera;phs_ii;gerinf#3;#18;gerinf#03;amphitheater;julio_claudian;90.5;81.5;5792.9;;;2251.34;;;3541.56;11384;germany;51.637517;6.4729;34;2019_hackett
castra_vetera;phs_ii;gerinf#3;#18;gerinf#03;amphitheater;julio_claudian;91;82;;59;49;;;;2611;;germany;51.637517;6.4729;34;2016_stelius
castra_vetera;phs_ii;gerinf#4;#18;gerinf#03;amphitheater;julio_claudian;96.5;87;6593.81;;;2251.34;;;4342.47;13958;germany;51.637517;6.4729;34;2019_hackett
castra_vetera;phs_ii;gerinf#4;#18;gerinf#03;amphitheater;julio_claudian;98;84;;52;42;;;;;;germany;51.637517;6.4729;34;2011_amphitheatrum_de
castra_vetera;phs_ii;gerinf#4;#18;gerinf#03;amphitheater;julio_claudian;98;84;;52;42;;;;;10000;germany;51.637517;6.4729;34;1981_honle
castra_vetera;phs_ii;gerinf#4;#18;gerinf#03;amphitheater;julio_claudian;98;84;;47.5;34.5;;;;;10000;germany;51.637517;6.4729;34;2020_wikipedia_de
claudia_agrippinensium;;;;gerinf#04;amphitheater;julio_claudian;100;60;;;;;;;;;germany;;;;1981_benario
