place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
arnsburg;;gersup#1;;gersup#01;amphitheater;principate;;;;32;31;;;;;;germany;50.486031;8.787953;160;2009_sommer
arnsburg;;gersup#1;;gersup#01;amphitheater;principate;;;;32;31;779.11;;;;;germany;50.486031;8.787953;160;2019_hackett
augusta_raurica_i;;gersup#2;#29;gersup#02;amphitheater;neronian;81;68;4325.97;;;1385.44;;;2940.53;9452;switzerland ;47.529294;7.72061;282;2019_hackett
augusta_raurica_i;;gersup#2;#29;gersup#02;amphitheater;neronian;81;68;;;;;;;;;switzerland ;47.529294;7.72061;282;2016_stelius
augusta_raurica_i;;gersup#2;#29;gersup#02;amphitheater;neronian;81;68;;;;;;;;;switzerland ;47.529294;7.72061;282;1993_golvin
augusta_raurica_ii;;gersup#3;;gersup#03;amphitheater;neronian;102;87;6969.62;;;1326.55;;;5643.07;18138;switzerland ;47.529294;7.72061;282;2019_hackett
augusta_raurica_ii;;gersup#3;;gersup#03;amphitheater;neronian;102;87;;48;33;;;;5726;;switzerland ;47.529294;7.72061;282;2016_stelius
augusta_raurica_ii;;gersup#3;;gersup#03;amphitheater;neronian;102;87;;48;33;;;;;14313;switzerland ;47.529294;7.72061;282;2016_sfsheath_com
aventicum;phs_i;gersup#4;;gersup#04;amphitheater;hadrian;99;87;6764.63;;;1562.15;;;5202.48;16722;switzerland ;46.8809917;7.0426222;472;2019_hackett
aventicum;phs_i;gersup#4;;gersup#04;amphitheater;hadrian;99;87;;51;39;;;;5202;;switzerland ;46.8809917;7.0426222;472;2016_stelius
aventicum;phs_i;gersup#4;;gersup#04;amphitheater;hadrian;99;86;;52;38;;;;;9000;switzerland ;46.8809917;7.0426222;472;2020_wikipedia_fr
aventicum;phs_ii;gersup#4;;gersup#04;amphitheater;hadrian;115;87;;;;;;;;;switzerland ;46.8809917;7.0426222;472;1981_benario
aventicum;phs_ii;gersup#4;;gersup#04;amphitheater;hadrian;105;92;;51.5;38.5;;;;;;switzerland ;46.8809917;7.0426222;472;2011_amphitheatrum_de
aventicum;phs_ii;gersup#4;;gersup#04;amphitheater;hadrian;105;92;;52;38;;;;;16000;switzerland ;46.8809917;7.0426222;472;2020_wikipedia_fr
bremodorum_bern;;gersup#5;#42;gersup#05;amphitheater;late_1st;42.6;38.5;1288.13;;;509.4;;;778.73;2503;switzerland ;46.97574;7.45115;547;2019_hackett
bremodorum_bern;;gersup#5;#42;gersup#05;amphitheater;late_1st;;;;27;25;;;;;1500;switzerland ;46.97574;7.45115;547;2011_amphitheatrum_de
