place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
astigi;;hispb#1;;hisbae#01;amphitheater;1st_century;133;106;;73;46;;30;;;;spain;37.536739;-5.085562;110;1988_saez
astigi;;hispb#1;;hisbae#01;amphitheater;1st_century;130;107;;70.91;47.56;;;;8281;22293;spain;37.536739;-5.085562;110;2015_jimenez
astigi;;hispb#1;;hisbae#01;amphitheater;1st_century;130;107;10924.88;;;2643.88;;;8281;26618;spain;37.536739;-5.085562;110;2019_hackett
carmo;;hispb#2;;hisbae#02;amphitheater;caesarean;108;98;;58.8;38.6;;;;7442;18605;spain;37.469587;-5.650787;220;2015_jimenez
carmo;;hispb#2;;hisbae#02;amphitheater;caesarean;130;111;;58.8;38.6;;;;;;spain;37.469587;-5.650787;220;2014_gonzalez
carmo;;hispb#2;;hisbae#02;amphitheater;caesarean;;;;58.8;39;;;;;;spain;37.469587;-5.650787;220;2014_gonzalez
carmo;;hispb#2;;hisbae#02;amphitheater;caesarean;131.2;111.4;;58;39;;;;;;spain;37.469587;-5.650787;220;2014_golvin
carmo;;hispb#2;;hisbae#02;amphitheater;caesarean;108;98;;58.8;38.6;;;;;18350;spain;37.469587;-5.650787;220;2011_amphitheatrum_de
carmo;;hispb#2;;hisbae#02;amphitheater;caesarean;108;98;;58;39;;;;;18350;spain;37.469587;-5.650787;220;2011_amphitheatrum_de
carmo;;hispb#2;;hisbae#02;amphitheater;caesarean;90;;;58;39;;;;;;spain;37.469587;-5.650787;220;2007_welch
carmo;;hispb#2;;hisbae#02;amphitheater;caesarean;131;111;;58;39;;;;9644;;spain;37.469587;-5.650787;220;2016_stelius
carmo;;hispb#2;;hisbae#02;amphitheater;caesarean;131.2;111.4;11479.12;;;1801.07;;;9678.05;31108;spain;37.469587;-5.650787;220;2019_hackett
carmo;;hispb#2;;hisbae#02;amphitheater;caesarean;;;;;;;;;;8000;spain;37.469587;-5.650787;220;2016_sfsheath_com
carmo;;hispb#2;;hisbae#02;amphitheater;caesarean;;;;55;39;;;;;;spain;37.469587;-5.650787;220;2020_wikipedia_es
corduba;;hispb#3;;hisbae#03;amphitheater;julio_claudian;178;154;21529.33;;;5504.07;;;16025.26;51510;spain;37.884183;-4.788888;117;2019_hackett
corduba;;hispb#3;;hisbae#03;amphitheater;julio_claudian;178;154;;96;73;;;;;31867;spain;37.884183;-4.788888;117;2015_jimenez
corduba;;hispb#3;;hisbae#03;amphitheater;julio_claudian;;;;62;35;;;;;;spain;37.884183;-4.788888;117;2015_jones
corduba;;hispb#3;;hisbae#03;amphitheater;julio_claudian;178;147;;;;;;;;;spain;37.884183;-4.788888;117;2016_stelius
corduba;;hispb#3;;hisbae#03;amphitheater;julio_claudian;100;;;;;;;;;30000;spain;37.884183;-4.788888;117;2003_ceballos
corduba;;hispb#3;;hisbae#03;amphitheater;julio_claudian;;;;;;;;;;50000;spain;37.884183;-4.788888;117;2003_ceballos
corduba;;hispb#3;;hisbae#03;amphitheater;julio_claudian;178;140;;;;;;20;;30000;spain;37.884183;-4.788888;117;2020_wikipedia_es
corduba;;hispb#3;;hisbae#03;amphitheater;julio_claudian;178;140;;;;;;20;;50000;spain;37.884183;-4.788888;117;2020_wikipedia_es
gades;;hispb#4;;hisbae#04;amphitheater;augustan;;;;;;;;;;;spain;;;;2019_hackett
hispalis;;hispb#5;;hisbae#05;amphitheater;undated;;;;;;;;;;;spain;;;;2019_hackett
italica;;hispb#6;#168;hisbae#06;amphitheater;hadrianic;156.5;134;;;;;;;;34310;spain;37.443893;-6.046742;6;2015_golvin
italica;;hispb#6;#168;hisbae#06;amphitheater;hadrianic;153;128.5;;;;;;;;;spain;37.443893;-6.046742;6;2015_jones
italica;;hispb#6;#168;hisbae#06;amphitheater;hadrianic;152.35;127.7;;;;;;;;32045;spain;37.443893;-6.046742;6;2015_jimenez
italica;;hispb#6;#168;hisbae#06;amphitheater;hadrianic;152.8;130.6;;70.6;47.3;;;;;;spain;37.443893;-6.046742;6;2002_garrido
italica;;hispb#6;#168;hisbae#06;amphitheater;hadrianic;156;134;;71.2;46.2;;;;;;spain;37.443893;-6.046742;6;1981_benario
italica;;hispb#6;#168;hisbae#06;amphitheater;hadrianic;157;134;;72;49;;;;13752;;spain;37.443893;-6.046742;6;2016_stelius
italica;;hispb#6;#168;hisbae#06;amphitheater;hadrianic;;;;;;;;;;20000;spain;37.443893;-6.046742;6;2003_ceballos
italica;;hispb#6;#168;hisbae#06;amphitheater;hadrianic;;;;;;;;;;35000;spain;37.443893;-6.046742;6;2003_ceballos
italica;;hispb#6;#168;hisbae#06;amphitheater;hadrianic;156.5;134;16470.58;;;2751.64;;;13718.94;44097;spain;37.443893;-6.046742;6;2019_hackett
italica;;hispb#6;#168;hisbae#06;amphitheater;hadrianic;160;136;;70;44;;;;;25000;spain;37.443893;-6.046742;6;2016_sfsheath_com
italica;;hispb#6;#168;hisbae#06;amphitheater;hadrianic;160;137;;;;;;;;25000;spain;37.443893;-6.046742;6;2020_wikipedia_es
italica;;hispb#6;#168;hisbae#06;amphitheater;hadrianic;156;134;;;;;;;;25000;spain;37.443893;-6.046742;6;2020_wikipedia_es
italica;;hispb#6;#168;hisbae#06;amphitheater;hadrianic;156.5;134;;71.5;49;;;;;;spain;37.443893;-6.046742;6;1993_wilson
italica;;hispb#6;#168;hisbae#06;amphitheater;hadrianic;153;128.25;;70.7;45.95;;;;;;spain;37.443893;-6.046742;6;1993_wilson
iulia_virtus;;hispb#7;;hisbae#07;amphitheater;flavian;;;;69;61;;;;;;spain;37.752468;-4.3806;506;2016_sfsheath_com
iulia_ugultunia;;hispb#8;;hisbae#08;amphitheater;trajanic;72;65;3675.66;;;;;;;;spain;;;;2019_hackett
sisapo;;hispt#8;;hisbae#09;amphitheater;undated;;;;65;55;;;;;;spain;38.645833;-4.516667;665;2007_duran
ucubi;;;;hisbae#10;amphitheater;undated;;35;;;;;;;;;spain;;;;2016_stelius
vergis;;;;hisbae#11;amphitheater;augustan;;;;;;;;;;;spain;;;;2003_ceballos
