place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
augusta_emerita;;hispl#1;#77;hislus#01;amphitheater;julio_claudian;126.3;102.65;;64.5;41.15;;;;;;spain;38.916168;-6.337952;222;2002_garrido
augusta_emerita;;hispl#1;#77;hislus#01;amphitheater;julio_claudian;126.3;102.6;;64.5;51.5;;;;;;spain;38.916168;-6.337952;222;2002_golvin
augusta_emerita;;hispl#1;#77;hislus#01;amphitheater;julio_claudian;126.3;102.7;;;;;;;;;spain;38.916168;-6.337952;222;1981_benario
augusta_emerita;;hispl#1;#77;hislus#01;amphitheater;julio_claudian;126;103;;65;41;;;;8100;;spain;38.916168;-6.337952;222;2016_stelius
augusta_emerita;;hispl#1;#77;hislus#01;amphitheater;julio_claudian;;;;;;;;;;15000;spain;38.916168;-6.337952;222;2003_ceballos
augusta_emerita;;hispl#1;#77;hislus#01;amphitheater;julio_claudian;;;;;;;;;;20000;spain;38.916168;-6.337952;222;2003_ceballos
augusta_emerita;;hispl#1;#77;hislus#01;amphitheater;julio_claudian;;;;64.5;41.2;;;;;;spain;38.916168;-6.337952;222;2007_duran
augusta_emerita;;hispl#1;#77;hislus#01;amphitheater;julio_claudian;126.3;102.6;10177.4;;;2087.11;;;8090.29;26005;spain;38.916168;-6.337952;222;2019_hackett
augusta_emerita;;hispl#1;#77;hislus#01;amphitheater;julio_claudian;126;102;;64;41;;;;;15000;spain;38.916168;-6.337952;222;2016_sfsheath_com
augusta_emerita;;hispl#1;#77;hislus#01;amphitheater;julio_claudian;126.3;102.65;;64.5;41.14;;;;;;spain;38.916168;-6.337952;222;1981_honle
augusta_emerita;;hispl#1;#77;hislus#01;amphitheater;julio_claudian;126;102;;64;41;;;;;14000;spain;38.916168;-6.337952;222;2020_wikipedia_es
augusta_emerita;;hispl#1;#77;hislus#01;amphitheater;julio_claudian;124.4;101.26;;64.6;41.46;;;;;;spain;38.916168;-6.337952;222;1993_wilson
bobadela;;hispl#2;;hislus#02;amphitheater;1st_century;;;;49.5;39.5;;;;;;portugal;40.361088;-7.893572;375;2002_garrido
bobadela;;hispl#2;;hislus#02;amphitheater;1st_century;;;;;;;;;;1500;portugal;40.361088;-7.893572;375;2003_ceballos
bobadela;;hispl#2;;hislus#02;amphitheater;1st_century;;;;;;;;;;2000;portugal;40.361088;-7.893572;375;2003_ceballos
bobadela;;hispl#2;;hislus#02;amphitheater;1st_century;;;;;;1535.64;;;;;portugal;40.361088;-7.893572;375;2019_hackett
bobadela;;hispl#2;;hislus#02;amphitheater;1st_century;;;;50;40;;;;;;portugal;40.361088;-7.893572;375;2020_wikipedia_pt
flavium_caparense;;hispl#3;;hislus#03;amphitheater;late_1st;;;;;;;;;;;spain;40.164159;-6.100049;402;2016_stelius
flavium_caparense;;hispl#3;;hislus#03;amphitheater;late_1st;69;51;2763.81;;;1992.55;;;771.26;2479;spain;40.164159;-6.100049;402;2019_hackett
conimbriga;;hispl#4;#101;hislus#04;amphitheater;julio_claudian;98;86;;48;36;;;;;;portugal;40.100352;-8.496082;40.100352;2002_garrido
conimbriga;;hispl#4;#101;hislus#04;amphitheater;julio_claudian;94;80;;54;40;;;;4210;;portugal;40.100352;-8.496082;40.100352;2016_stelius
conimbriga;;hispl#4;#101;hislus#04;amphitheater;julio_claudian;;;;;;;;;;4000;portugal;40.100352;-8.496082;40.100352;2003_ceballos
conimbriga;;hispl#4;#101;hislus#04;amphitheater;julio_claudian;94;80;5906.19;;;1696.46;;;4209.73;5750;portugal;40.100352;-8.496082;40.100352;2019_hackett
conimbriga;;hispl#4;#101;hislus#04;amphitheater;julio_claudian;94;80;;54;40;;;;;4000;portugal;40.100352;-8.496082;40.100352;2016_sfsheath_com
conimbriga;;hispl#4;#101;hislus#04;amphitheater;julio_claudian;98;86;;;;;;;;;portugal;40.100352;-8.496082;99;2020_wikipedia_pt
ebora;;hispl#5;;hislus#05;amphitheater;late_1st;80;65;;45;30;;;;;;portugal;;;;2002_garrido
ebora;;hispl#5;;hislus#05;amphitheater;late_1st;80;65;4084.07;;;1060.28;;;3023.79;9719;portugal;;;;2019_hackett
