place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
barcino;;hispt#1;;histar#01;amphitheater;undated;117;93;;60;35;;;;;;spain;41.38194;2.174176;29;2011_amphitheatrum_de
barcino;;hispt#1;;histar#01;amphitheater;undated;117;93;;65;40;;;;;;spain;41.38194;2.174176;29;2011_amphitheatrum_de
barcino;;hispt#1;;histar#01;amphitheater;undated;117;93;;65;35;;;;6759;;spain;41.38194;2.174176;29;2016_stelius
barcino;;hispt#1;;histar#01;amphitheater;undated;117;98;9005.37;;;1840.77;;;7164.6;23029;spain;41.38194;2.174176;29;2019_hackett
bracara_augusta;;hispt#2;;histar#02;amphitheater;flavian;132.5;82.5;;;;;;;;;portugal;41.548239;-8.430659;177;2007_duran
bracara_augusta;;hispt#2;;histar#02;amphitheater;flavian;132;83;;;;;;;;;portugal;41.548239;-8.430659;177;2016_stelius
bracara_augusta;;hispt#2;;histar#02;amphitheater;flavian;132;82.5;8553;;;;;;;7250;portugal;41.548239;-8.430659;177;2019_hackett
carthago_nova;;hispt#3;;histar#03;amphitheater;augustan;96.6;77.8;;56.5;37;;;;;11000;spain;37.60062;-0.98015;22;2002_garrido
carthago_nova;;hispt#3;;histar#03;amphitheater;augustan;96.6;77.8;;56.5;37;;;;;10000;spain;37.60062;-0.98015;22;2002_garrido
carthago_nova;;hispt#3;;histar#03;amphitheater;augustan;;;;;;;;;;10000;spain;37.60062;-0.98015;22;2003_ceballos
carthago_nova;;hispt#3;;histar#03;amphitheater;augustan;;;;;;;;;;11000;spain;37.60062;-0.98015;22;2003_ceballos
carthago_nova;;hispt#3;;histar#03;amphitheater;augustan;;;;;;;;;;14500;spain;37.60062;-0.98015;22;2019_hackett
carthago_nova;;hispt#3;;histar#03;amphitheater;augustan;;;;69;69;;;;;;spain;37.60062;-0.98015;22;2016_sfsheath_com
carthago_nova;;hispt#3;;histar#03;amphitheater;augustan;;;;;;;;;;10000;spain;37.60062;-0.98015;22;2020_wikipedia_es
carthago_nova;;hispt#3;;histar#03;amphitheater;augustan;;;;;;;;;;11000;spain;37.60062;-0.98015;22;2020_wikipedia_es
castulo;;hispt#4;;histar#04;amphitheater;undated;;;;;;;;;;;spain;42.130042;3.117431;27;2019_hackett
emporiae;;hispt#5;#93;histar#05;amphitheater;julio_claudia;93;44.1;;;;;;;;3600;spain;42.130042;3.117431;27;2011_amphitheatrum_de
emporiae;;hispt#5;#93;histar#05;amphitheater;julio_claudia;93;44.1;;;;;;;;4200;spain;42.130042;3.117431;27;2011_amphitheatrum_de
emporiae;;hispt#5;#93;histar#05;amphitheater;julio_claudia;88;56;;75;43;;;;1338;;spain;42.130042;3.117431;27;2016_stelius
emporiae;;hispt#5;#93;histar#05;amphitheater;julio_claudia;;;;;;;;;;3000;spain;42.130042;3.117431;27;2003_ceballos
emporiae;;hispt#5;#93;histar#05;amphitheater;julio_claudia;;;;;;;;;;3500;spain;42.130042;3.117431;27;2003_ceballos
emporiae;;hispt#5;#93;histar#05;amphitheater;julio_claudia;88;56;3870.44;;;2532.9;;;1337.54;4299;spain;42.130042;3.117431;27;2019_hackett
emporiae;;hispt#5;#93;histar#05;amphitheater;julio_claudia;86;54;;71;42;;;;;3343;spain;42.130042;3.117431;27;2016_sfsheath_com
legio;;hispt#6;;histar#06;amphitheater;flavian;90;70;;60;40;;;;3063;;spain;42.596758;-5.569617;847;2016_stelius
legio;;hispt#6;;histar#06;amphitheater;flavian;90;70;4948;;;1184.95;;;3763.05;12096;spain;42.596758;-5.569617;847;2019_hackett
segobriga;;hispt#7;#88;histar#07;amphitheater;flavian;74;66.2;;41.7;34;;18;;3364;;spain;39.886018;-2.813944;815;2002_garrido
