place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
abella;;italcamp#1;;italcamp#01;amphitheater;republican;79;53;3288.46;;;;;;;;italy;40.961526;14.608415;218;2019_hackett
abella;;italcamp#1;;italcamp#01;amphitheater;republican;79;53;;;;;;;;;italy;40.961526;14.608415;218;2007_welch
abella;;italcamp#1;;italcamp#01;amphitheater;republican;79;53;;;;;;;;;italy;40.961526;14.608415;218;2016_stelius
abella;;italcamp#1;;italcamp#01;amphitheater;republican;79;53;;;;;;;;;italy;40.961526;14.608415;218;2011_amphitheatrum_de
abella;;italcamp#1;;italcamp#01;amphitheater;republican;108;70;;62.5;35;;;;;;italy;40.961526;14.608415;218;2016_sfsheath_com
calles;;italcamp#2;;italcamp#02;amphitheater;republican;110;72;6220.35;;;;;;;;italy;41.202429;14.137993;89;2019_hackett
calles;;italcamp#2;;italcamp#02;amphitheater;republican;;;;70;;;;;;;italy;41.202429;14.137993;89;2016_stelius
calles;;italcamp#2;;italcamp#02;amphitheater;republican;;;;70;;;;;;;italy;41.202429;14.137993;89;2007_welch
calles;;italcamp#2;;italcamp#02;amphitheater;republican;110;72;;87.2;;;;;;;italy;41.202429;14.137993;89;2011_amphitheatrum_de
capua_i;;italcamp#3;;italcamp#03;amphitheater;republican;100;;;;;;;;;;italy;41.084593;14.250309;31;2011_amphitheatrum_de
capua_i;;italcamp#3;;italcamp#03;amphitheater;republican;100;;;;;;;;;;italy;41.084593;14.250309;31;2007_welch
capua_ii;;italcamp#4;;italcamp#04;amphitheater;hadrianic;165;135;17494.74;;;2737.41;;;14757.33;47434;italy;41.085944;14.25009;31;2019_hackett
capua_ii;;italcamp#4;;italcamp#04;amphitheater;hadrianic;165;135;17495;76.12;45.83;2740;44.4;;14755;47426;italy;41.085944;14.25009;31;2013_bomgardner
capua_ii;;italcamp#4;;italcamp#04;amphitheater;hadrianic;169.9;139.6;;72.1;45.8;;;;;;italy;41.085944;14.25009;31;1981_benario
capua_ii;;italcamp#4;;italcamp#04;amphitheater;hadrianic;169.9;139.9;;76.12;45.83;;;;;;italy;41.085944;14.25009;31;2011_amphitheatrum_de
capua_ii;;italcamp#4;;italcamp#04;amphitheater;hadrianic;165;135;;76.12;45.83;;;;;37000;italy;41.085944;14.25009;31;2016_sfsheath_com
capua_ii;;italcamp#4;;italcamp#04;amphitheater;hadrianic;169.9;139.6;;;;;;;;;italy;41.085944;14.25009;31;1981_honle
capua_ii;;italcamp#4;;italcamp#04;amphitheater;hadrianic;177;139;;;;;;46;;;italy;41.085944;14.25009;31;2020_wikipedia_it
capua_ii;;italcamp#4;;italcamp#04;amphitheater;hadrianic;165;135;;76.1;45.8;;;;;;italy;41.085944;14.25009;31;1993_wilson
capua_ii;;italcamp#4;;italcamp#04;amphitheater;hadrianic;166.5;136.7;;75.5;45.7;;;;;;italy;41.085944;14.25009;31;1993_wilson
cumae;;italcamp#5;;italcamp#05;amphitheater;republican;129;104;;;;;;;;;italy;40.841847;14056;14;1981_benario
cumae;;italcamp#5;;italcamp#05;amphitheater;republican;90;;;;;;;;;;italy;40.841847;14056;14;2007_welch
cumae;;italcamp#5;;italcamp#05;amphitheater;republican;114;84;;;;;;;;;italy;40.841847;14056;14;2016_sfsheath_com
cumae;;italcamp#5;;italcamp#05;amphitheater;republican;90;;;;;;;;;;italy;40.841847;14056;14;2011_amphitheatrum_de
liternum;;italcamp#6;;italcamp#06;amphitheater;republican;85;65;;;;;;;;;italy;40.91704;14.029564;16;2020_wikipedia_it
liternum;;italcamp#6;;italcamp#06;amphitheater;republican;90;70;;;;;;;;;italy;40.91704;14.029564;16;2020_wikipedia_it
nola;;italcamp#7;;italcamp#07;amphitheater;republican;138;108;11705.57;;;;;;;;italy;40.927702;14.52054;29;2019_hackett
nola;;italcamp#7;;italcamp#07;amphitheater;republican;138;108;;68;55;;;;8768;;italy;40.927702;14.52054;29;2016_stelius
nola;;italcamp#7;;italcamp#07;amphitheater;republican;138;108;;;;;;;;20000;italy;40.927702;14.52054;29;2007_welch
nola;;italcamp#7;;italcamp#07;amphitheater;republican;138;108;;;;;;;;;italy;40.927702;14.52054;29;2011_amphitheatrum_de
nola;;italcamp#7;;italcamp#07;amphitheater;republican;138;108;;;;;;;;;italy;40.927702;14.52054;29;2020_wikipedia_it
nuceria_alfaterna;phs_i;italcamp#8;;italcamp#08;amphitheater;augustan;95;72;5372.12;;;1548.8;;;3823.32;12289;italy;;;;2019_hackett
nuceria_alfaterna;phs_i;italcamp#8;;italcamp#08;amphitheater;augustan;88;64;;58;34;;;;2875;;italy;;;;2016_stelius
nuceria_alfaterna;phs_i;italcamp#8;;italcamp#08;amphitheater;augustan;77;53;;58;34;;;;;;italy;;;;2011_amphitheatrum_de
nuceria_alfaterna;phs_ii;italcamp#9;;italcamp#09;amphitheater;augustan;125;102;10013.82;;;1548.8;;;8465.02;27209;italy;;;;2019_hackett
nuceria_alfaterna;phs_ii;italcamp#9;;italcamp#09;amphitheater;augustan;125;102;;58;34;;;;;;italy;;;;2016_sfsheath_com
nuceria_alfaterna;phs_ii;italcamp#9;;italcamp#09;amphitheater;augustan;125;102;;58;34;;;;;;italy;;;;2011_amphitheatrum_de
nuceria_alfaterna;phs_ii;italcamp#9;;italcamp#09;amphitheater;augustan;125;102;;;;;;;;;italy;;;;2020_wikipedia_it
pompeii;;italcamp#10;;italcamp#10;amphitheater;republican;134.8;102.5;10851.84;;;1788.35;;;9063.49;29133;italy;40.751213;14.495262;12;2019_hackett
pompeii;;italcamp#10;;italcamp#10;amphitheater;republican;135;104;;66.7;35.1;;;;;;italy;40.751213;14.495262;12;1981_benario
pompeii;;italcamp#10;;italcamp#10;amphitheater;republican;135;103;;67;35;;;;;;italy;40.751213;14.495262;12;2016_stelius
pompeii;;italcamp#10;;italcamp#10;amphitheater;republican;134.8;102.5;;66.8;34.5;;34;;;22000;italy;40.751213;14.495262;12;2007_welch
pompeii;;italcamp#10;;italcamp#10;amphitheater;republican;135;104;;66;35;;;;;22000;italy;40.751213;14.495262;12;2016_sfsheath_com
pompeii;;italcamp#10;;italcamp#10;amphitheater;republican;134.8;102.5;;66.8;34;;;;;;italy;40.751213;14.495262;12;2011_amphitheatrum_de
pompeii;;italcamp#10;;italcamp#10;amphitheater;republican;135.6;104;;;;;;;;;italy;40.751213;14.495262;12;1981_honle
pompeii;;italcamp#10;;italcamp#10;amphitheater;republican;135;104;;66;34;;;;;20000;italy;40.751213;14.495262;12;2020_wikipedia_nl
pompeii;;italcamp#10;;italcamp#10;amphitheater;republican;134;102.5;;66;34.5;;;;;;italy;40.751213;14.495262;12;1993_wilson
pompeii;;italcamp#10;;italcamp#10;amphitheater;republican;132;99.4;;67.5;35.4;;;;;;italy;40.751213;14.495262;12;1993_wilson
puteoli_i;;;#8;italcamp#11;amphitheater;republican;;;;;;;;;;;italy;40.826239;14.127615;60;2016_sfsheath_com
puteoli_ii;phs_i;italcamp#11;;italcamp#11;amphitheater;flavian;125;102;;;;;;;;;italy;40.825929;14.125315;37;1981_honle
puteoli_ii;phs_i;italcamp#11;;italcamp#12;amphitheater;flavian;130;95;;;;;;;;;italy;40.825929;14.125315;37;1981_honle
puteoli_ii;phs_i;italcamp#11;;italcamp#12;amphitheater;flavian;130;95;;69;35;;;;7803;;italy;40.825929;14.125315;37;2016_stelius
puteoli_ii;phs_i;italcamp#11;;italcamp#12;amphitheater;flavian;130;95;;69;35;;;;;;italy;40.825929;14.125315;37;2007_welch
puteoli_ii;phs_i;italcamp#11;;italcamp#12;amphitheater;flavian;130;95;9699.66;;;1896.73;;;7802.93;25081;italy;40.825929;14.125315;37;2019_hackett
puteoli_ii;phs_i;italcamp#11;;italcamp#12;amphitheater;flavian;130;95;;;;;;;;;italy;40.825929;14.125315;37;1981_benario
puteoli_ii;phs_ii;italcamp#12;;italcamp#13;amphitheater;flavian;149;116;;75;42;;;;11101;;italy;40.825929;14.125315;37;2016_stelius
puteoli_ii;phs_ii;italcamp#12;;italcamp#13;amphitheater;flavian;149;116;13575;74.8;42;2467;37;;11107;35700;italy;40.825929;14.125315;37;2013_bomgardner
puteoli_ii;phs_ii;italcamp#12;;italcamp#13;amphitheater;flavian;149;116;13574.82;;;2467.4;;;11107.42;35702;italy;40.825929;14.125315;37;2019_hackett
puteoli_ii;phs_ii;italcamp#12;;italcamp#13;amphitheater;flavian;149;116;;75;42;;;;;;italy;40.825929;14.125315;37;1981_benario
puteoli_ii;phs_ii;italcamp#12;;italcamp#13;amphitheater;flavian;149;116;;74.8;42;;;;;35700;italy;40.825929;14.125315;37;2016_sfsheath_com
puteoli_ii;phs_ii;italcamp#12;;italcamp#13;amphitheater;flavian;149;116;;74.78;42;;;;;;italy;40.825929;14.125315;37;2011_amphitheatrum_de
puteoli_ii;phs_ii;italcamp#12;;italcamp#13;amphitheater;flavian;153.8;121.25;;73.8;41.25;;;;;;italy;40.825929;14.125315;37;2011_amphitheatrum_de
puteoli_ii;phs_ii;italcamp#12;;italcamp#13;amphitheater;flavian;149;116;;74.8;42;;;;;40000;italy;40.825929;14.125315;37;1981_honle
puteoli_ii;phs_ii;italcamp#12;;italcamp#13;amphitheater;flavian;147;118;;72;42;;;;;40000;italy;40.825929;14.125315;37;2020_wikipedia_fr
puteoli_ii;phs_ii;italcamp#12;;italcamp#13;amphitheater;flavian;149;116;;74.8;42;;;;;;italy;40.825929;14.125315;37;1993_wilson
puteoli_ii;phs_ii;italcamp#12;;italcamp#13;amphitheater;flavian;153.8;121.5;;73.8;41.25;;;;;;italy;40.825929;14.125315;37;1993_wilson
suessa_aurunca;;italcamp#13;;italcamp#14;amphitheater;republican;;;;;;;;;;;italy;41.230843;13.933458;130;2016_stelius
teanum;;italcamp#14;;italcamp#15;amphitheater;republican;79;53;;;;;;;;;italy;41.251661;14.065098;181;2016_stelius
teanum;;italcamp#14;;italcamp#15;amphitheater;republican;79;53;;;;;;;;;italy;41.251661;14.065098;181;2007_welch
telesia;;italcamp#15;;italcamp#16;amphitheater;republican;99;77;;68;46;;15.6;;;9000;italy;41.223911;14.500496;63;2007_welch
telesia;;italcamp#15;;italcamp#16;amphitheater;republican;99;77;5987.09;;;2456.72;;;3530.37;11348;italy;41.223911;14.500496;63;2019_hackett
telesia;;italcamp#15;;italcamp#16;amphitheater;republican;112;;;;;;;;;;italy;41.223911;14.500496;63;2016_sfsheath_com
abellinum;;;;italcamp#17;amphitheater;republican;;;;;;;;;;;italy;40.917353;14.825649;304;2007_welch
atella;;;;italcamp#18;amphitheater;undated;;;;;;;;;;;italy;;;;2016_stelius
circei;;;;italcamp#19;amphitheater;1st_century;90;68;;;;;;;;;italy;;;;2016_stelius
