place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
herdoniae;;italapul#1;#26;italapu#01;amphitheater;claudian;75.5;59.4;3522.27;;;994.81;;;2527.46;8124;italy;41.3105;15.6231;128;2109_hackett
herdoniae;;italapul#1;#26;italapu#01;amphitheater;claudian;75;59;;45;28;;;;2486;;italy;41.3105;15.6231;128;2016_stelius
herdoniae;;italapul#1;#26;italapu#01;amphitheater;claudian;74.5;59.4;;44.6;28.4;;;;;6318;italy;41.3105;15.6231;128;2016_sfsheath_com
luceria;;italapul#2;#12;italapu#02;amphitheater;augustan;126.8;94.5;9411.11;;;2551.47;;;6859.64;22049;italy;41.508249;15.344984;192;2109_hackett
luceria;;italapul#2;#12;italapu#02;amphitheater;augustan;131.4;99.2;;;;;;;;;italy;41.508249;15.344984;192;1981_benario
luceria;;italapul#2;#12;italapu#02;amphitheater;augustan;127;95;;75;43;;;;6943;;italy;41.508249;15.344984;192;2016_stelius
luceria;;italapul#2;#12;italapu#02;amphitheater;augustan;126.8;94.5;;72.2;43.2;;;;;17149;italy;41.508249;15.344984;192;2016_sfsheath_com
luceria;;italapul#2;#12;italapu#02;amphitheater;augustan;126.8;94.5;;72.2;43.2;;;;;;italy;41.508249;15.344984;192;2011_amphitheatrum_de
luceria;;italapul#2;#12;italapu#02;amphitheater;augustan;126.8;94.5;;75.2;43.2;;;;;16000;italy;41.508249;15.344984;192;2020_wikipedia_it
luceria;;italapul#2;#12;italapu#02;amphitheater;augustan;126.8;94.5;;;;;;;;18000;italy;41.508249;15.344984;192;2020_wikipedia_it
lupiae;phs_i;italapul#3;;italapu#03;amphitheater;augustan;94;75;5537.05;;;1426.29;;;4110.76;13213;italy;40.352463;18.172733;42;2109_hackett
lupiae;phs_i;italapul#3;;italapu#03;amphitheater;augustan;94;75;;53;34;;;;;;italy;40.352463;18.172733;42;2011_amphitheatrum_de
lupiae;phs_ii;italapul#4;;italapu#04;amphitheater;augustan;102;82;;53;34;;;;;;italy;40.352463;18.172733;42;2011_amphitheatrum_de
lupiae;phs_ii;italapul#4;;italapu#04;amphitheater;augustan;101.9;83;6642.66;;;1426.29;;;5216.37;16767;italy;40.352463;18.172733;42;2109_hackett
lupiae;phs_ii;italapul#4;;italapu#04;amphitheater;augustan;102;83;;54;34;;;;;;italy;40.352463;18.172733;42;1981_benario
lupiae;phs_ii;italapul#4;;italapu#04;amphitheater;augustan;102;83;;53;34;;;;5234;;italy;40.352463;18.172733;42;2016_stelius
lupiae;phs_ii;italapul#4;;italapu#04;amphitheater;augustan;101.9;83;;53.1;34.2;;;;;25000;italy;40.352463;18.172733;42;2016_sfsheath_com
lupiae;phs_ii;italapul#4;;italapu#04;amphitheater;augustan;102;83;;53;34;;;;;25000;italy;40.352463;18.172733;42;2020_wikipedia_it
venusia;;italapul#5;;italapu#05;amphitheater;2nd_century;98;77;5926.61;;;1685.46;;;4241.15;13632;italy;40.969693;15.826303;403;2109_hackett
venusia;;italapul#5;;italapu#05;amphitheater;2nd_century;98;77;;58;37;;;;4241;;italy;40.969693;15.826303;403;2016_stelius
venusia;;italapul#5;;italapu#05;amphitheater;2nd_century;98;77;;58;37;;;;;10602;italy;40.969693;15.826303;403;2016_sfsheath_com
venusia;;italapul#5;;italapu#05;amphitheater;2nd_century;70;40;;;;;;;;10000;italy;40.969693;15.826303;403;2020_wikipedia_it
canusium;;;;italapu#06;amphitheater;1st_century;138;108;;;;;;;;;italy;41.221739;16.05603;79;2016_stelius
canusium;;;;italapu#06;amphitheater;1st_century;138;106;;;;;;;;;italy;41.221739;16.05603;79;2016_sfsheath_com
canusium;;;;italapu#06;amphitheater;1st_century;138;108;;;;;;;;;italy;41.221739;16.05603;79;2011_amphitheatrum_de
larinum;;;;italapu#07;amphitheater;flavian;98;86;;57;40;;;;;;italy;41.805529;14.916364;401;2016_sfsheath_com
larinum;;;;italapu#07;amphitheater;flavian;96.25;77.9;;58.65;40.3;;;;;;italy;41.805529;14.916364;401;2011_amphitheatrum_de
larinum;;;;italapu#07;amphitheater;flavian;97.8;80;;59.2;41.4;;;;;;italy;41.805529;14.916364;401;2011_amphitheatrum_de
larinum;;;;italapu#07;amphitheater;flavian;97.8;80;;59.4;41.6;;;;;;italy;41.805529;14.916364;401;2020_wikipedia_it
tarentum;;;;italapu#08;amphitheater;undated;;;;;;;;;;;italy;40.470397;17.240828;14;2016_stelius
beneventum;;;;italapu#09;amphitheater;republican;160;130;;;;;;25;;;italy;41.130009;14.781523;161;2020_wikipedia_it
rudiae;;;;italapu#10;amphitheater;republican;83;66;;;;;;;;;italy;40.334316;18.146729;32;2011_amphitheatrum_de
rudiae;;;;italapu#10;amphitheater;republican;83;66;;;;;;;;;italy;40.334316;18.146729;32;2016_sfsheath_com
egnatia;;;;italapu#11;amphitheater;augustan;;;;37;25;;;;;;italy;40.887891;17.391188;3;2011_amphitheatrum_de
egnatia;;;;italapu#11;amphitheater;augustan;;;;37;25;;;;;;italy;40.887891;17.391188;3;2016_sfsheath_com
egnatia;;;;italapu#11;amphitheater;augustan;;;;37;25;;;;;;italy;40.887891;17.391188;3;2020_wikipedia_it
sipontium;;;;italapu#12;amphitheater;principate;;;;;;;;;;;italy;41.611703;15.88865;16;2016_sfsheath_com
