place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
alba_fucentia;;italsamsab#1;;italsam#01;amphitheater;julio_claudian;103;76;6148.09;;;1859.82;;;4288.27;13784;italy;42.0772;13.412289;975;2019_hackett
alba_fucentia;;italsamsab#1;;italsam#01;amphitheater;julio_claudian;103;76;;64;37;;;;4288;;italy;42.0772;13.412289;975;2016_stelius
alba_fucentia;;italsamsab#1;;italsam#01;amphitheater;julio_claudian;103;76;;64;37;;;;;10720;italy;42.0772;13.412289;975;2016_sfsheath_com
alba_fucentia;;italsamsab#1;;italsam#01;amphitheater;julio_claudian;96;76;;64;37;;;;;;italy;42.0772;13.412289;975;2011_amphitheatrum_de
alba_fucentia;;italsamsab#1;;italsam#01;amphitheater;julio_claudian;101;79;;64;37;;;;;;italy;42.0772;13.412289;975;2011_amphitheatrum_de
alba_fucentia;;italsamsab#1;;italsam#01;amphitheater;julio_claudian;103;76;;64;37;;;;;;italy;42.0772;13.412289;975;2011_amphitheatrum_de
alba_fucentia;;italsamsab#1;;italsam#01;amphitheater;julio_claudian;96;79;;;;;;;;;italy;42.0772;13.412289;975;2020_wikipedia_it
alifae;;italsamsab#2;;italsam#02;amphitheater;julio_claudian;109;82;7019.88;;;2544.69;;;4475.19;14385;italy;41.325586;14.334989;103;2019_hackett
alifae;;italsamsab#2;;italsam#02;amphitheater;julio_claudian;107;84;;72;48;;;;;;italy;41.325586;14.334989;103;2016_sfsheath_com
amiternum;;italsamsab#3;;italsam#03;amphitheater;1st_century;90;68;4806.63;;;2111.15;;;2695.48;8664;italy;42.400531;13.306027;671;2019_hackett
amiternum;;italsamsab#3;;italsam#03;amphitheater;1st_century;90;68;;64;42;;;;2695;;italy;42.400531;13.306027;671;2016_stelius
amiternum;;italsamsab#3;;italsam#03;amphitheater;1st_century;90;68;;64;42;;;;;20000;italy;42.400531;13.306027;671;2016_sfsheath_com
amiternum;;italsamsab#3;;italsam#03;amphitheater;1st_century;68;53;;46;30;;;;;6000;italy;42.400531;13.306027;671;2020_wikipedia_nl
forum_novum;;italsamsab#4;;italsam#04;amphitheater;1st_century;;;;;;;;;883.57;2000;italy;42.331253;12.603703;138;2019_hackett
forum_novum;;italsamsab#4;;italsam#04;amphitheater;1st_century;;;;45;25;;;;;;italy;42.331253;12.603703;138;2016_stelius
forum_novum;;italsamsab#4;;italsam#04;amphitheater;1st_century;;;;45;25;;;;;2000;italy;42.331253;12.603703;138;2016_sfsheath_com
tibur;;italsamsab#5;;italsam#05;amphitheater;2nd_century;85;65;4339.32;;;1964.28;;;2375.04;7634;italy;41.960705;12.798095;244;2019_hackett
tibur;;italsamsab#5;;italsam#05;amphitheater;2nd_century;85;65;;61;41;;;;2375;;italy;41.960705;12.798095;244;2016_stelius
tibur;;italsamsab#5;;italsam#05;amphitheater;2nd_century;85;;;;;;;;;;italy;41.960705;12.798095;244;2016_sfsheath_com
tibur;;italsamsab#5;;italsam#05;amphitheater;2nd_century;85;65;;61;41;;;;;;italy;41.960705;12.798095;244;2011_amphitheatrum_de
trebula_mutuesca;;italsamsab#6;;italsam#06;amphitheater;ulpio_aelian;94;66;4872.61;;;1676.82;;;3195.79;10272;italy;42.22848;12.867593;485;2019_hackett
trebula_mutuesca;;italsamsab#6;;italsam#06;amphitheater;ulpio_aelian;94;66;;61;35;;;;;;italy;42.22848;12.867593;485;2011_amphitheatrum_de
corfinium;;;;italsam#07;amphitheater;undated;85;60;;;;;;;;;italy;;;;2016_stelius
marruvium;;;;italsam#08;amphitheater;1st_century;95;75;;;;;;;;;italy;42.0065;13.6276;676;2016_stelius
marruvium;;;;italsam#08;amphitheater;1st_century;95;75;;52;36;;;;;;italy;42.0065;13.6276;676;2011_amphitheatrum_de
marruvium;;;;italsam#08;amphitheater;1st_century;101;;;;;;;;;;italy;42.0065;13.6276;676;2016_sfsheath_com
peltuinum;;;;italsam#09;amphitheater;undated;78;60;;;;;;;;;italy;;;;2016_stelius
teate_marrucinorum;;;;italsam#10;amphitheater;claudian;;;;59;40.7;;;;;;italy;42.345021;14.16255;347;2016_stelius
teate_marrucinorum;;;;italsam#10;amphitheater;claudian;;;;59;40.7;;;;;;italy;42.345021;14.16255;347;2011_amphitheatrum_de
teate_marrucinorum;;;;italsam#10;amphitheater;claudian;;;;60;40;;;;;;italy;42.345021;14.16255;347;2020_wikipedia_it
histonium_vasto;;;;italsam#10;amphitheater;early_2nd;100;80;;;;;;;;;italy;42.111279;14.707821;145;2011_amphitheatrum_de
