place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
ancona;phs_i;italpice#1;;italpic#01;amphitheater;augustan;93;74;;52;35;;;;;;italy;43.624604;13.511791;52;2011_amphitheatrum_de
ancona;phs_i;italpice#1;;italpic#01;amphitheater;augustan;93;74;;52;35;;;12;;8000;italy;43.624604;13.511791;52;2020_wikipedia_it
ancona;phs_i;italpice#1;;italpic#01;amphitheater;augustan;93;74;;52;35;;;12;;10000;italy;43.624604;13.511791;52;2020_wikipedia_it
ancona;phs_ii;italpice#1;;italpic#01;amphitheater;augustan;111;97;8456.38;;;2788.94;;;5667.44;18217;italy;43.624604;13.511791;52;2019_hackett
ancona;phs_ii;italpice#1;;italpic#01;amphitheater;augustan;111;97;;67;53;;;;5667;;italy;43.624604;13.511791;52;2016_stelius
ancona;phs_ii;italpice#1;;italpic#01;amphitheater;augustan;111;97;;67;53;;;;;;italy;43.624604;13.511791;52;2011_amphitheatrum_de
ancona;phs_ii;italpice#1;;italpic#01;amphitheater;augustan;110;97;;67;53;;;;;;italy;43.624604;13.511791;52;2011_amphitheatrum_de
ancona;phs_ii;italpice#1;;italpic#01;amphitheater;augustan;111;97;;67;53;;;;;14168;italy;43.624604;13.511791;52;2016_sfsheath_com
asculum_picenum;;italpice#2;#91;italpic#02;amphitheater;augustan;148;125;14529.86;;;;;;;;italy;42.855664;13.570603;152;2019_hackett
asculum_picenum;;italpice#2;#91;italpic#02;amphitheater;augustan;148;125;;;;;;;;;italy;42.855664;13.570603;152;2016_stelius
asculum_picenum;;italpice#2;#91;italpic#02;amphitheater;augustan;148;125;;;;;;;;;italy;42.855664;13.570603;152;2016_sfsheath_com
falerio_picenus;;italpice#3;#99;italpic#03;amphitheater;julio_claudian;88.8;80;5579.46;;;;;;;;italy;43.10148;13.49633;223;2019_hackett
falerio_picenus;;italpice#3;#99;italpic#03;amphitheater;julio_claudian;89;80;;;;;;;;;italy;43.10148;13.49633;223;2016_stelius
falerio_picenus;;italpice#3;#99;italpic#03;amphitheater;julio_claudian;88.8;80;;;;;;;;;italy;43.10148;13.49633;223;2011_amphitheatrum_de
falerio_picenus;;italpice#3;#99;italpic#03;amphitheater;julio_claudian;88.8;80;;;;;;;;;italy;43.10148;13.49633;223;2016_sfsheath_com
falerio_picenus;;italpice#3;#99;italpic#03;amphitheater;julio_claudian;120;105;;;;;;;;;italy;43.10148;13.49633;223;2020_wikipedia_it
interamnia_praetuttiorum;;italpice#4;;italpic#04;amphitheater;1st_century;73.93;56.16;3260.9;;;;;;;;italy;42.658115;13.703109;265;2019_hackett
interamnia_praetuttiorum;;italpice#4;;italpic#04;amphitheater;1st_century;74;56;;;;;;;;;italy;42.658115;13.703109;265;2016_stelius
interamnia_praetuttiorum;;italpice#4;;italpic#04;amphitheater;1st_century;73.93;56.16;;;;;;;;;italy;42.658115;13.703109;265;2011_amphitheatrum_de
interamnia_praetuttiorum;;italpice#4;;italpic#04;amphitheater;1st_century;73.93;56.16;;;;;;;;;italy;42.658115;13.703109;265;2016_sfsheath_com
interamnia_praetuttiorum;;italpice#4;;italpic#04;amphitheater;1st_century;74;56;;;;;;;;;italy;42.658115;13.703109;265;2020_wikipedia_it
urbs_salvia;;italpice#5;;italpic#05;amphitheater;;96.6;74.6;5659.86;;;1837.17;;;3822.69;12287;italy;43.2009;13.3872;217;2019_hackett
urbs_salvia;;italpice#5;;italpic#05;amphitheater;;97;75;;61;39;;;;;;italy;43.2009;13.3872;217;2016_stelius
urbs_salvia;;italpice#5;;italpic#05;amphitheater;;98;71;;59;35;;;;;5150;italy;43.2009;13.3872;217;2016_sfsheath_com
urbs_salvia;;italpice#5;;italpic#05;amphitheater;;;;;59;35;;;;;5150;italy;43.2009;13.3872;217;2020_wikipedia_it
firmum_picenus;;;;italpic#06;amphitheater;;;;;;;;;;;;italy;43.161433;13.718231;292;2016_sfsheath_com
