place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
carsulae;;italumb#1;#80;italumb#01;amphitheater;flavian;86.5;62;4212.09;;;1833.87;;;2378.22;7644;italy;42.639468;12.559172;438;2019_hackett
carsulae;;italumb#1;#80;italumb#01;amphitheater;flavian;87;62;;62;38;;;;2386;;italy;42.639468;12.559172;438;2016_stelius
carsulae;;italumb#1;#80;italumb#01;amphitheater;flavian;86.5;62;;62.1;37.6;;;;;5945;italy;42.639468;12.559172;438;2016_sfsheath_com
foligno_fulginium;;italumb#2;;italumb#02;amphitheater;flavian;;;;;;;;;;;italy;;;;2019_hackett
hispellum;;italumb#3;;italumb#03;amphitheater;republican;108;82;6955.48;;;1651.52;;;5303.96;17048;italy;42.9957909;12.6662021;214;2019_hackett
hispellum;;italumb#3;;italumb#03;amphitheater;republican;59;35;;;;;;;;;italy;42.9957909;12.6662021;214;2016_stelius
hispellum;;italumb#3;;italumb#03;amphitheater;republican;82;;;;;;;;;;italy;42.9957909;12.6662021;214;2016_sfsheath_com
interamna_nahars;;italumb#4;;italumb#04;amphitheater;tiberian;96.5;73;5532.73;;;1176.63;;;4356.1;14002;italy;42.5598;12.6433;126;2019_hackett
interamna_nahars;;italumb#4;;italumb#04;amphitheater;tiberian;97;73;;52;29;;;;4377;;italy;42.5598;12.6433;126;2016_stelius
interamna_nahars;;italumb#4;;italumb#04;amphitheater;tiberian;95;73;;65;36;;;;;;italy;42.5598;12.6433;126;2016_sfsheath_com
interamna_nahars;;italumb#4;;italumb#04;amphitheater;tiberian;97.5;73;;55.2;26.7;;;;;10000;italy;42.5598;12.6433;126;2020_wikipedia_it
mevania;;italumb#5;#283;italumb#05;amphitheater;republican;80;53;3330.08;;;829.38;;;2500.7;8038;italy;42.936912;12.61535;220;2019_hackett
mevania;;italumb#5;#283;italumb#05;amphitheater;republican;80;53;;;;;;;;;italy;42.936912;12.61535;220;2019_hackett
mevania;;italumb#5;#283;italumb#05;amphitheater;republican;80;53;;44;24;;;;;6251;italy;42.936912;12.61535;220;2016_sfsheath_com
ocriculum;;italumb#6;;italumb#06;amphitheater;julio_claudian;120;98;9236.28;;;2111.15;;;7125.13;22902;italy;42.4115648;12.467190499;87;2019_hackett
ocriculum;;italumb#6;;italumb#06;amphitheater;julio_claudian;120;98;;64;42;;;;7125;;italy;42.4115648;12.467190499;87;2016_stelius
ocriculum;;italumb#6;;italumb#06;amphitheater;julio_claudian;120;98;;64;42;;;;;17812;italy;42.4115648;12.467190499;87;2016_sfsheath_com
spoletium;;italumb#7;#86;italumb#07;amphitheater;julio_claudian;115;85;7677.26;;;;;;;;italy;42.738427;12.738992;327;2019_hackett
spoletium;;italumb#7;#86;italumb#07;amphitheater;julio_claudian;115;85;;;;;;;;;italy;42.738427;12.738992;327;1981_benario
spoletium;;italumb#7;#86;italumb#07;amphitheater;julio_claudian;115;85;;;;;;;;;italy;42.738427;12.738992;327;2016_sfsheath_com
spoletium;;italumb#7;#86;italumb#07;amphitheater;julio_claudian;119;90;;;;;;;;30000;italy;42.738427;12.738992;327;2020_wikipedia_it
spoletium;;italumb#7;#86;italumb#07;amphitheater;julio_claudian;115;85;;;;;;;;30000;italy;42.738427;12.738992;327;2020_wikipedia_it
spoletium;;italumb#7;#86;italumb#07;amphitheater;julio_claudian;115;84;;;;;;;;30000;italy;42.738427;12.738992;327;2020_wikipedia_it
suasa_senonum;;italumb#8;;italumb#08;amphitheater;late_1st;98.7;77.2;5984.45;;;1724.73;;;4259.72;13692;italy;43.624682;12.986831;138;2019_hackett
suasa_senonum;;italumb#8;;italumb#08;amphitheater;late_1st;99;75;;58;36;;;;;;italy;43.624682;12.986831;138;2016_sfsheath_com
suasa_senonum;;italumb#8;;italumb#08;amphitheater;late_1st;98.7;77.7;;;;;;10;;7000;italy;43.624682;12.986831;138;2020_wikipedia_it
suasa_senonum;;italumb#8;;italumb#08;amphitheater;late_1st;98.7;77.7;;;;;;10;;10000;italy;43.624682;12.986831;138;2020_wikipedia_it
asisium;;;;italumb#09;amphitheater;undated;;;;69;35;;;;;;italy;43.071077;12.620454;445;2016_stelius
asisium;;;;italumb#09;amphitheater;undated;;;;60;35;;;;;;italy;43.071077;12.620454;445;2016_sfsheath_com
tuder;;;#282;italumb#11;amphitheater;augustan;90;60;;;;;;;;;italy;42.778653;12.413528;332;2016_stelius
tuder;;;#282;italumb#11;amphitheater;augustan;90;60;;;;;;;;;italy;42.778653;12.413528;332;2011_amphitheatrum_de
