place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
arretium;phs_i;italetr#1;;italetr#01;amphitheater;julio_claudian;109.4;80;6873.8;;;2411.27;;;4462.53;14344;italy;43.460491;11.88037;254;2019_hackett
arretium;phs_i;italetr#1;;italetr#01;amphitheater;julio_claudian;109;80;;;;;;;;;italy;43.460491;11.88037;254;2016_stelius
arretium;phs_i;italetr#1;;italetr#01;amphitheater;julio_claudian;109.4;80;;71.9;42.7;;;;;8000;italy;43.460491;11.88037;254;2016_sfsheath_com
arretium;phs_ii;italetr#2;;italetr#02;amphitheater;julio_claudian;121.4;92;8771.95;;;2411.27;;;6360.68;20445;italy;43.460491;11.88037;254;2019_hackett
arretium;phs_ii;italetr#2;;italetr#02;amphitheater;julio_claudian;121;68;;;;;;;;;italy;43.460491;11.88037;254;1981_benario
arretium;phs_ii;italetr#2;;italetr#02;amphitheater;julio_claudian;121;68;8228;71.9;42.7;;24.7;;;8000;italy;43.460491;11.88037;254;2020_wikipedia_it
arretium;phs_ii;italetr#2;;italetr#02;amphitheater;julio_claudian;121;68;8228;71.9;42.7;;24.7;;;10000;italy;43.460491;11.88037;254;2020_wikipedia_it
falerii_novi;;italetr#3;#146;italetr#03;amphitheater;augustan;88;66.4;4589.23;;;1394.56;;;3194.67;10269;italy;42.302694;12.360894;196;2019_hackett
falerii_novi;;italetr#3;#146;italetr#03;amphitheater;augustan;88;66;;54;33;;;;3162;;italy;42.302694;12.360894;196;2016_stelius
falerii_novi;;italetr#3;#146;italetr#03;amphitheater;augustan;88;66.4;;54.3;32.7;;;;;7986;italy;42.302694;12.360894;196;2016_sfsheath_com
falerii_novi;;italetr#3;#146;italetr#03;amphitheater;augustan;;;;55;33;;;;;;italy;42.302694;12.360894;196;2020_wikipedia_it
ferentium;;italetr#4;;italetr#04;amphitheater;republican;67.5;40;2120.57;;;;;;;;italy;42.49202;12.139045;289;2019_hackett
ferentium;;italetr#4;;italetr#04;amphitheater;republican;68;40;;;;;;;;;italy;42.49202;12.139045;289;2016_stelius
ferentium;;italetr#4;;italetr#04;amphitheater;republican;68;40;;;;;;;;;italy;42.49202;12.139045;289;2007_welch
ferentium;;italetr#4;;italetr#04;amphitheater;republican;68;40;;;;;;;;;italy;42.49202;12.139045;289;2011_amphitheatrum_de
ferentium;;italetr#4;;italetr#04;amphitheater;republican;68;40;;;;;;;;;italy;42.49202;12.139045;289;2016_sfsheath_com
