place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
ariminium;;itaaem#1;#172;italaem#01;amphitheater;hadrianic;117.7;88.1;8144.08;;;2557.25;;;5586.83;17958;italy;44.06027;12.5754;1;2019_hackett
ariminium;;itaaem#1;#172;italaem#01;amphitheater;hadrianic;120;91;;76.4;47.4;;;;;;italy;44.06027;12.5754;1;1981_benario
ariminium;;itaaem#1;#172;italaem#01;amphitheater;hadrianic;117;88;;74;44;;;;5529;;italy;44.06027;12.5754;1;2016_stelius
ariminium;;itaaem#1;#172;italaem#01;amphitheater;hadrianic;117.72;88.08;;73.76;42.52;;;;;13967;italy;44.06027;12.5754;1;2016_sfsheath_com
ariminium;;itaaem#1;#172;italaem#01;amphitheater;hadrianic;117.7;88;;76.4;47.4;;21.8;;;10000;italy;44.06027;12.5754;1;2020_wikipedia_it
forum_cornelii;;itaaem#2;#56;italaem#02;amphitheater;early_2nd;108;81;6870.66;;;2104.86;;;4765.8;15319;italy;44.357803;11.704981;47;2019_hackett
forum_cornelii;;itaaem#2;#56;italaem#02;amphitheater;early_2nd;108;81;;67;40;;;;4766;;italy;44.357803;11.704981;47;2016_stelius
forum_cornelii;;itaaem#2;#56;italaem#02;amphitheater;early_2nd;108;81;;67;40;;;;;11914;italy;44.357803;11.704981;47;2016_sfsheath_com
forum_cornelii;;itaaem#2;#56;italaem#02;amphitheater;early_2nd;108;80.95;;67;39.95;;;;;;italy;44.357803;11.704981;47;2020_wikipedia_it
parma;;itaaem#3;;italaem#03;amphitheater;julio_claudian;135;108;11451.1;;;2431.59;;;9019.51;28991;italy;44.798409;10.334106;69;2019_hackett
parma;;itaaem#3;;italaem#03;amphitheater;julio_claudian;136;106;;;;;;;;;italy;44.798409;10.334106;69;1981_benario
parma;;itaaem#3;;italaem#03;amphitheater;julio_claudian;135;108;;72;43;;;;9020;;italy;44.798409;10.334106;69;2016_stelius
parma;;itaaem#3;;italaem#03;amphitheater;julio_claudian;155;117;;;;;;;;25000;italy;44.798409;10.334106;69;2020_wikipedia_it
parma;;itaaem#3;;italaem#03;amphitheater;julio_claudian;133;97;;;;;;;;20000;italy;44.798409;10.334106;69;2020_3dvirtualmuseum_it
veleia;;itaaem#4;#14;italaem#04;amphitheater;julio_claudian;54.9;44.1;1901.51;;;741.02;;;1160.49;3730;italy;44.785053;9.723475;476;2019_hackett
veleia;;itaaem#4;#14;italaem#04;amphitheater;julio_claudian;55;44;;37;26;;;;1145;;italy;44.785053;9.723475;476;2016_stelius
veleia;;itaaem#4;#14;italaem#04;amphitheater;julio_claudian;54.85;44.1;;37;25.5;;;;;2901;italy;44.785053;9.723475;476;2016_sfsheath_com
regium_lepidi;;;;italaem#05;amphitheater;undated;;;;;;;;;;;italy;44.702888;10.629951;77;2011_amphitheatrum_de
