place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
albingaunum;;itallig#1;;itallig#01;amphitheater;2nd_century;70;50;2748.89;;;1178.09;;;1570.8;5049;italy;44.043859;8.211315;43;2019_hackett
albingaunum;;itallig#1;;itallig#01;amphitheater;2nd_century;70;50;;50;30;;;;1571;;italy;44.043859;8.211315;43;2016_stelius
albingaunum ;;itallig#1;;italetr#13;amphitheater;2nd_century;70;50;;;;;;;;;italy;44.043859;8.211315;43;2011_amphitheatrum_de
albingaunum ;;itallig#1;;italetr#13;amphitheater;2nd_century;70;50;;;;;;;;;italy;44.043859;8.211315;43;2011_amphitheatrum_de
albingaunum ;;itallig#1;;italetr#13;amphitheater;2nd_century;72.8;52.2;;;;;;;;;italy;44.043859;8.211315;43;2020_wikipedia_it
augusta_bagiennorum;;itallig#2;;itallig#02;amphitheater;1st_century;117;92;8454.02;;;2945.24;;;5508.78;17707;italy;44.556583;7.850286;344;2019_hackett
augusta_bagiennorum;;itallig#2;;itallig#02;amphitheater;1st_century;104;78;;;;;;;;;italy;44.556583;7.850286;344;2016_stelius
augusta_bagiennorum;;itallig#2;;itallig#02;amphitheater;1st_century;104;78;;;;;;;;;italy;44.556583;7.850286;344;2016_sfsheath_com
libarna;;itallig#3;#105;itallig#03;amphitheater;1st_century;88;58.7;4057.05;;;1902.39;;;2154.66;6926;italy;44.705942;8.867859;228;2019_hackett
libarna;;itallig#3;#105;itallig#03;amphitheater;1st_century;88;59;;66;37;;;;2160;;italy;44.705942;8.867859;228;2016_stelius
libarna;;itallig#3;#105;itallig#03;amphitheater;1st_century;88;58.7;;66;36.6;;;;;5380;italy;44.705942;8.867859;228;2016_sfsheath_com
pollentia;;itallig#4;;itallig#04;amphitheater;early_2nd;132;98;10159.91;;;3091.31;;;7068.6;22721;italy;44.684739;7.895866;199;2019_hackett
pollentia;;itallig#4;;itallig#04;amphitheater;early_2nd;132;;;;;;;;;;italy;44.684739;7.895866;199;2016_stelius
pollentia;;itallig#4;;itallig#04;amphitheater;early_2nd;122;92;;77;47;;;;;;italy;44.684739;7.895866;199;2011_amphitheatrum_de
pollentia;;itallig#4;;itallig#04;amphitheater;early_2nd;120;93;;;;;;;;;italy;44.684739;7.895866;199;2016_sfsheath_com
