place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
aquileia;;italven#1;;italven#01;amphitheater;claudian;142;118;13160.13;;;2601.23;;;10558.9;33939;italy;45.768486;13.365975;3;2019_hackett
aquileia;;italven#1;;italven#01;amphitheater;claudian;142;118;;72;48;;;;10446;;italy;45.768486;13.365975;3;2016_stelius
aquileia;;italven#1;;italven#01;amphitheater;claudian;142;118;;72;46;;;;;;italy;45.768486;13.365975;3;2016_sfsheath_com
patavium;;italven#2;#90;italven#02;amphitheater;augustan;102.5;65.5;5272.96;;;2370.17;;;2902.79;9330;italy;45.41163;11.879132;11;2019_hackett
patavium;;italven#2;#90;italven#02;amphitheater;augustan;103;65;;76;39;;;;2930;;italy;45.41163;11.879132;11;2016_stelius
patavium;;italven#2;#90;italven#02;amphitheater;augustan;102.5;65.5;;76.4;39.5;;;;;;italy;45.41163;11.879132;11;2011_amphitheatrum_de
patavium;;italven#2;#90;italven#02;amphitheater;augustan;102.5;65.5;;76.4;39.5;;;;;;italy;45.41163;11.879132;11;2016_sfsheath_com
pola;phs_i;italven#3;;italven#03;amphitheater;flavian;123;96.5;;67.9;41.7;;;;;;croatia;44.873222;13.850197;10;1993_wilson
pola;phs_i;italven#3;;italven#03;amphitheater;flavian;123;96.5;9322.28;;;2223.79;;;7098.49;22817;croatia;44.873222;13.850197;10;2019_hackett
pola;phs_i;italven#3;;italven#03;amphitheater;flavian;123;97;;68;42;;;;7127;;croatia;44.873222;13.850197;10;2016_stelius
pola;phs_ii;italven#4;;italven#04;amphitheater;flavian;132.5;105.1;;67.9;41.7;;;;;;croatia;44.873222;13.850197;10;1993_wilson
pola;phs_ii;italven#4;;italven#04;amphitheater;flavian;132.5;105.1;10937.25;;;2223.79;;;8713.46;28008;croatia;44.873222;13.850197;10;2019_hackett
pola;phs_ii;italven#4;;italven#04;amphitheater;flavian;132.5;105.1;;68;41.7;;;;;;croatia;44.873222;13.850197;10;1981_benario
pola;phs_ii;italven#4;;italven#04;amphitheater;flavian;132.45;105.1;;67.95;41.65;;;;;26000;croatia;44.873222;13.850197;10;2016_sfsheath_com
pola;phs_ii;italven#4;;italven#04;amphitheater;flavian;132.5;105;;67.6;41.6;;;;;23000;croatia;44.873222;13.850197;10;1981_honle
pola;phs_ii;italven#4;;italven#04;amphitheater;flavian;132.45;105.1;;67.9;41.6;;;;;23000;croatia;44.873222;13.850197;10;2020_wikipedia_hr
verona;;italven#5;;italven#05;amphitheater;julio_claudian;152.4;123.2;14746.38;;;2639.78;;;12106.6;38914;italy;45.439006;10.9944;54;2019_hackett
verona;;italven#5;;italven#05;amphitheater;julio_claudian;152;123;;73.6;44.4;;;;;;italy;45.439006;10.9944;54;1981_benario
verona;;italven#5;;italven#05;amphitheater;julio_claudian;152.43;123.24;;75.68;44.43;;39.4;;;28200;italy;45.439006;10.9944;54;2013_bomgardner
verona;;italven#5;;italven#05;amphitheater;julio_claudian;152.43;123.24;;75.68;44.43;;39.4;;;38900;italy;45.439006;10.9944;54;2013_bomgardner
verona;;italven#5;;italven#05;amphitheater;julio_claudian;152;123;;76;44;;;;12057;;italy;45.439006;10.9944;54;2016_stelius
verona;;italven#5;;italven#05;amphitheater;julio_claudian;152.43;123.42;;75.68;44.43;;;;30000;;italy;45.439006;10.9944;54;2016_sfsheath_com
verona;;italven#5;;italven#05;amphitheater;julio_claudian;152.19;103.24;;73.68;44.43;;;;;25000;italy;45.439006;10.9944;54;1981_honle
verona;;italven#5;;italven#05;amphitheater;julio_claudian;152.43;123.23;;75.68;44.43;;39.4;;;;italy;45.439006;10.9944;54;2020_wikipedia_it
verona;;italven#5;;italven#05;amphitheater;julio_claudian;152.4;123.2;;75.7;44.4;;;;;;italy;45.439006;10.9944;54;1993_wilson
verona;;italven#5;;italven#05;amphitheater;julio_claudian;154.4;122.9;;75.7;44.4;;;;;;italy;45.439006;10.9944;54;1993_wilson
civitas_camunnorum;;;;italven#06;amphitheater;undated;73;60;;;;;;;;;italy;45.9435;10281;272;2016_sfsheath_com
altinum;;;;italven#07;amphitheater;undated;143;103;;80;58;;;;;;italy;45.5492;12.4001;-24;2016_sfsheath_com
altinum;;;;italven#07;amphitheater;undated;150;110;;;;;;;;;italy;45.5492;12.4001;-24;2020_wikipedia_it
