place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
augusta_praetoria;;italgaltrans#1;;italtrans#01;amphitheater;augustan;86;73;4930.72;;;1022.58;;;3908.14;12562;italy;45.739603;7.321797;587;2019_hackett
augusta_praetoria;;italgaltrans#1;;italtrans#01;amphitheater;augustan;86;73;;42;31;;;;3908;;italy;45.739603;7.321797;587;2016_stelius
augusta_praetoria;;italgaltrans#1;;italtrans#01;amphitheater;augustan;86;76;;42;31;;;;;;italy;45.739603;7.321797;587;2011_amphitheatrum_de
augusta_praetoria;;italgaltrans#1;;italtrans#01;amphitheater;augustan;150;115;;;;;;;;;italy;45.739603;7.321797;587;2016_sfsheath_com
augusta_praetoria;;italgaltrans#1;;italtrans#01;amphitheater;augustan;86;73;;;;;;;;;italy;45.739603;7.321797;587;2020_wikipedia_fr
augusta_praetoria;;italgaltrans#1;;italtrans#01;amphitheater;augustan;;;;;;;;;;15000;italy;45.739603;7.321797;587;2020_wikipedia_it
augusta_praetoria;;italgaltrans#1;;italtrans#01;amphitheater;augustan;83.8;71.7;;42;30.5;;;;;;italy;45.739603;7.321797;587;1993_wilson
eporedia;;italgaltrans#2;#55;italtrans#02;amphitheater;julio_claudian;96;72;5428.67;;;2210.11;;;3218.56;10345;italy;45.467758;7.887719;273;2019_hackett
eporedia;;italgaltrans#2;#55;italtrans#02;amphitheater;julio_claudian;96;72;;67;42;;;;3219;;italy;45.467758;7.887719;273;2016_stelius
eporedia;;italgaltrans#2;#55;italtrans#02;amphitheater;julio_claudian;96;72;;67;42;;;;;8046;italy;45.467758;7.887719;273;2016_sfsheath_com
mediolanum;;italgaltrans#3;;italtrans#03;amphitheater;julio_claudian;155;125;15217.08;;;2557.25;;;12659.83;40692;italy;45.457026;9.178663;116;2019_hackett
mediolanum;;italgaltrans#3;;italtrans#03;amphitheater;julio_claudian;155;125;;74;44;;;;12260;;italy;45.457026;9.178663;116;2016_stelius
mediolanum;;italgaltrans#3;;italtrans#03;amphitheater;julio_claudian;129.5;105.3;;78;45.6;;;;;;italy;45.457026;9.178663;116;1981_benario
mediolanum;;italgaltrans#3;;italtrans#03;amphitheater;julio_claudian;155;125;;74;44;;;;;31649;italy;45.457026;9.178663;116;2016_sfsheath_com
mediolanum;;italgaltrans#3;;italtrans#03;amphitheater;julio_claudian;155;125;;74;40;;;;;;italy;45.457026;9.178663;116;2011_amphitheatrum_de
mediolanum;;italgaltrans#3;;italtrans#03;amphitheater;julio_claudian;155;125;;75;41;;;38;;20000;italy;45.457026;9.178663;116;2020_wikipedia_it
mediolanum;;italgaltrans#3;;italtrans#03;amphitheater;julio_claudian;155;125;;75;41;;;38;;35000;italy;45.457026;9.178663;116;2020_wikipedia_it
