place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
eleutheropolis;;;;iude#01;amphitheater;2nd_century;71;56;;;;;;;;;israel;31.60822;34.893814;253;2009_dodge
eleutheropolis;;;;iude#01;amphitheater;2nd_century;71;56;;47;38;;;;;3500;israel;31.60822;34.893814;253;2016_sfsheath_com
eleutheropolis;;;;iude#01;amphitheater;2nd_century;;;;;;;;;;4000;israel;31.60822;34.893814;253;1988_kloner
eleutheropolis;;;;iude#01;amphitheater;2nd_century;;;;;;;;;;5000;israel;31.60822;34.893814;253;1988_kloner
eleutheropolis;;;;iude#01;amphitheater;2nd_century;;;;;;;;;;3500;israel;31.60822;34.893814;253;2020_wikipedia_en
caesarea_maritima;;;;iude#02;amphitheater;2nd_century;;;;95;62;;;;;;israel;32.506568;34.897378;10;2009_dodge
caesarea_maritima;;;;iude#02;amphitheater;2nd_century;;;;95;62;;;;;;israel;32.506568;34.897378;10;2011_amphitheatrum_de
caesarea_maritima;;;;iude#02;amphitheater;2nd_century;134;77;;101;44;;;;;;israel;32.506568;34.897378;10;2016_sfsheath_com
megiddo_legio;;;;iude#03;amphitheater;principate;70;50;;;;;;;;;israel;32.58102;35.183968;140;2016_sfsheath_com
flavia_neapolis;;;;iude#04;amphitheater;2nd_century;95;76;;;;;;;;;palestine;;;;2011_amphitheatrum_de
aelia_capitolina;;;;iude#05;amphitheater;augustan;;;;;;;;;;;israel;;;;2009_dodge
jericho;;;;iude#06;amphitheater;augustan;;;;;;;;;;;palestine;;;;2009_dodge
scythopolis_nysa;;;;iude#07;arena_hippodrome;augustan;;;;;;;;;;;israel;32.498508;35.501446;-123;2011_amphitheatrum_de
