place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
flavia_solva;phs_i;nor#1;;noric#01;amphitheater;hadrianic;63;32.7;;62;23.7;1790;;;;;austria;46.766744;15.567417;268;2006_groh
flavia_solva;phs_i;nor#1;;noric#01;amphitheater;hadrianic;63;36;;62;36;1790;;;;;austria;46.766744;15.567417;268;2006_groh
flavia_solva;phs_i;nor#1;;noric#01;amphitheater;hadrianic;63;32.7;;;;;;;;;austria;46.766744;15.567417;268;2011_amphitheatrum_de
flavia_solva;phs_i;nor#1;;noric#01;amphitheater;hadrianic;63;36;;;;;;;;;austria;46.766744;15.567417;268;2011_amphitheatrum_de
flavia_solva;phs_ii;nor#1;;noric#02;amphitheater;hadrianic;85.5;36;;;;;;;;;austria;46.766744;15.567417;268;2011_amphitheatrum_de
flavia_solva;phs_ii;nor#1;;noric#02;amphitheater;hadrianic;58.5;32.7;;;;;;;;;austria;46.766744;15.567417;268;2011_amphitheatrum_de
flavia_solva;phs_ii;nor#1;;noric#02;amphitheater;hadrianic;100.5;48.5;;83.5;32.7;2500;;;;;austria;46.766744;15.567417;268;2006_groh
flavia_solva;phs_ii;nor#1;;noric#02;amphitheater;hadrianic;100.5;48.5;;83.5;26;2500;;;;;austria;46.766744;15.567417;268;2006_groh
flavia_solva;phs_ii;nor#1;;noric#02;amphitheater;hadrianic;97;45;;85;35;;;;;2729;austria;46.766744;15.567417;268;2016_sfsheath_com
flavia_solva;phs_ii;nor#1;;noric#02;amphitheater;hadrianic;97;45;3428.26;;;2336.55;;;1091.71;3509;austria;46.766744;15.567417;268;2019_hackett
flavia_solva;phs_ii;nor#1;;noric#02;amphitheater;hadrianic;97;45;;85;35;;;;1092;;austria;46.766744;15.567417;268;2016_stelius
flavia_solva;phs_ii;nor#1;;noric#02;amphitheater;hadrianic;;;;80;35;;;;;;austria;46.766744;15.567417;268;2020_wikipedia_it
virunum;;nor#2;;noric#03;amphitheater;2nd_century;108;46;3901.85;;;2362.47;;;1539.38;4948;austria;46.697951;14.366943;496;2019_hackett
virunum;;nor#2;;noric#03;amphitheater;2nd_century;108.1;46.5;4800;93.7;30.5;2740;;;;;austria;46.697951;14.366943;496;2006_groh
virunum;;nor#2;;noric#03;amphitheater;2nd_century;108.1;46.5;4800;93.7;32.5;2740;;;;;austria;46.697951;14.366943;496;2006_groh
virunum;;nor#2;;noric#03;amphitheater;2nd_century;;;;96;42;;;;;;austria;46.697951;14.366943;496;2016_stelius
virunum;;nor#2;;noric#03;amphitheater;2nd_century;;;;96;42;;;;;;austria;46.697951;14.366943;496;2016_sfsheath_com
virunum;;nor#2;;noric#03;amphitheater;2nd_century;;;;93.7;30.5;;;;;;austria;46.697951;14.366943;496;2011_amphitheatrum_de
virunum;;nor#2;;noric#03;amphitheater;2nd_century;;;;93.7;32.5;;;;;;austria;46.697951;14.366943;496;2011_amphitheatrum_de
gleisdorf;;;;noric#04;amphitheater;undated;;;;66;46;2250;;;;;austria;47.111055;15.707727;365;2006_groh
gleisdorf;;;;noric#04;amphitheater;undated;;;;65;45;;;;;;austria;47.111055;15.707727;365;2016_stelius
