place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
bulla_regia;;ap#4;#117;numid#01;amphitheater;late_2nd;73.6;66;3815.15;;;791.68;;;3023.47;9718;tunisia;36.564169;8.762598;225;2019_hackett
bulla_regia;;ap#4;#117;numid#01;amphitheater;late_2nd;73.6;66;3815;33.6;30;792;18;;3023;9700;tunisia;36.564169;8.762598;225;2013_bomgardner
bulla_regia;;ap#4;#117;numid#01;amphitheater;late_2nd;60;40;;40;20;;;;;;tunisia;36.564169;8.762598;225;1993_golvin
bulla_regia;;ap#4;#117;numid#01;amphitheater;late_2nd;75;66;;34;30;;;;;8300;tunisia;36.564169;8.762598;225;2016_sfsheath_com
lambaesis;phs_i;num#2;#60;numid#02;amphitheater;antonine;88;75;;68;55;;;;2246;;algeria;35.4892469;6.2599349;1170;2016_stelius
lambaesis;phs_i;num#2;#60;numid#02;amphitheater;antonine;88;75;5184;68;55;2937;;;2247;7200;algeria;35.4892469;6.2599349;1170;2013_bomgardner
lambaesis;phs_i;num#2;#60;numid#02;amphitheater;antonine;88;75;5183.62;68;55;2937.38;;;2246.24;7220;algeria;35.4892469;6.2599349;1170;2019_hackett
lambaesis;phs_ii;num#3;#111;numid#03;amphitheater;antonine;104.6;94;7722;68;55;2937;19.5;;4785;15400;algeria;35.4892469;6.2599349;1170;2013_bomgardner
lambaesis;phs_ii;num#3;#111;numid#03;amphitheater;antonine;104.6;94;7722.34;;;2937.38;;;4784.96;15380;algeria;35.4892469;6.2599349;1170;2019_hackett
lambaesis;phs_ii;num#3;#111;numid#03;amphitheater;antonine;104;;;;;;;;;;algeria;35.4892469;6.2599349;1170;1981_benario
lambaesis;phs_ii;num#3;#111;numid#03;amphitheater;antonine;104.6;94;;68;55;;;;;15400;algeria;35.4892469;6.2599349;1170;2016_sfsheath_com
rusicade;;num#4;#72;numid#04;amphitheater;hadrianic;78;59;;55;36;;;;2059;;algeria;36.876413;6.91383;36;2016_stelius
rusicade;;num#4;#72;numid#04;amphitheater;hadrianic;77.3;58.8;3570;55;28.5;1724;10;;1846;5900;algeria;36.876413;6.91383;36;2013_bomgardner
rusicade;;num#4;#72;numid#04;amphitheater;hadrianic;78;59;3614.4;;;1413.71;;;2200.69;7074;algeria;36.876413;6.91383;36;2019_hackett
rusicade;;num#4;#72;numid#04;amphitheater;hadrianic;78;59;;55;36;;;;;;algeria;36.876413;6.91383;36;2011_amphitheatrum
rusicade;;num#4;#72;numid#04;amphitheater;hadrianic;77.3;58.8;;57;38.5;;;;;8000;algeria;36.876413;6.91383;36;2016_sfsheath_com
sicca_veneria;;num#5;#183;numid#05;amphitheater;late_1st;100;80;;70;50;;;;3534;;tunisia;36.181919;8.716866;735;2016_stelius
sicca_veneria;;num#5;#183;numid#05;amphitheater;late_1st;100;80;6280;70;50;2750;15;;3530;11300;tunisia;36.181919;8.716866;735;2013_bomgardner
sicca_veneria;;num#5;#183;numid#05;amphitheater;late_1st;100;80;6283.18;;;2748.89;;;3534.29;6200;tunisia;36.181919;8.716866;735;2019_hackett
sicca_veneria;;num#5;#183;numid#05;amphitheater;late_1st;100;80;;70;50;;;;;11300;tunisia;36.181919;8.716866;735;2016_sfsheath_com
thevestis;phs_i;ap#15;#30;numid#06;amphitheater;flavian;83;70;4563;52.8;39.5;1638;15;;2925;9400;algeria;35.401171;8.123809;876;2013_bomgardner
thevestis;phs_i;ap#15;#30;numid#06;amphitheater;flavian;83;70;4563.16;;;1638.02;15;;2925.14;9402;algeria;35.401171;8.123809;876;2019_hackett
thevestis;phs_i;ap#16;#30;numid#07;amphitheater;flavian;83;70;;52.8;39.5;;;;;9400;algeria;35.401171;8.123809;876;2016_sfsheath_com
thevestis;phs_ii;ap#16;#30;numid#07;amphitheater;flavian;86;80;;52;39;;;;;;algeria;35.401171;8.123809;876;1967_fevrier
thevestis;phs_ii;ap#16;#30;numid#07;amphitheater;flavian;94.8;81.5;6068;52.8;39.5;1638;21;;4430;14200;algeria;35.401171;8.123809;876;2013_bomgardner
thevestis;phs_ii;ap#16;#30;numid#07;amphitheater;flavian;94.8;81.5;6068.14;;;1638.02;;;4430.12;14240;algeria;35.401171;8.123809;876;2019_hackett
simmithu;;num#6;#67;numid#08;amphitheater;late_2nd;61;52.2;2500;30;21.5;510;15.5;;1990;6500;tunisia;36.490426;8.580552;171;2013_bomgardner
simmithu;;num#6;#67;numid#08;amphitheater;late_2nd;61;52.2;2500.86;;;506.58;;;1994.28;12200;tunisia;36.490426;8.580552;171;2019_hackett
simmithu;;num#6;#67;numid#08;amphitheater;late_2nd;61;52;;30;21;;;;;6500;tunisia;36.490426;8.580552;171;2016_sfsheath_com
mesarfelta;;;#45;numid#09;amphitheater;undated;;;;;;;;;;;algeria;35.036203;5.592835;271;2016_stelius
