place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
aquincum_i;;paninf#1;;paninf#01;amphitheater;antonine;131;107;11008.92;;;4589.23;;;6419.69;20635;hungary;47.532778;19.038889;100;2019_hackett
aquincum_i;;paninf#1;;paninf#01;amphitheater;antonine;131;107;;88;66;;;;6447;;hungary;47.532778;19.038889;100;2016_stelius
aquincum_i;;paninf#1;;paninf#01;amphitheater;antonine;131;107;;88;42;;;;;;hungary;47.532778;19.038889;100;2016_sfsheath_com
aquincum_i;;paninf#1;;paninf#01;amphitheater;antonine;131.8;108.4;;89.6;66.1;;;;;;hungary;47.532778;19.038889;100;2020_wikipedia_hu
aquincum_ii;;paninf#2;;paninf#02;amphitheater;late_2nd;86.5;75.5;5129.23;;;1682.32;;;3446.91;11079;hungary;47.5675;19.048056;103;2019_hackett
aquincum_ii;;paninf#2;;paninf#02;amphitheater;late_2nd;86.5;75.5;;51;42;;;;;;hungary;47.5675;19.048056;103;2011_amphitheatrum_de
aquincum_ii;;paninf#2;;paninf#02;amphitheater;late_2nd;87;76;;51;42;;;;3511;;hungary;47.5675;19.048056;103;2016_stelius
aquincum_ii;;paninf#2;;paninf#02;amphitheater;late_2nd;86.5;75.5;;51;42;;;;;;hungary;47.5675;19.048056;103;2016_sfsheath_com
aquincum_ii;;paninf#2;;paninf#02;amphitheater;late_2nd;86.5;75.5;;;;;;;;6000;hungary;47.5675;19.048056;103;202_wikipedia_hu
aquincum_ii;;paninf#2;;paninf#02;amphitheater;late_2nd;86.5;75.5;;;;;;;;7000;hungary;47.5675;19.048056;103;202_wikipedia_hu
carnuntum_i;;pansup#1;#123;pansup#01;amphitheater;hadrianic;122;106;10156.76;;;2777.16;;;7379.6;23720;austria;48.1269;16.8927;165;2019_hackett
carnuntum_i;;pansup#1;#123;pansup#01;amphitheater;hadrianic;122;106;;68;52;;;;7380;;austria;48.1269;16.8927;165;2016_stelius
carnuntum_i;;pansup#1;#123;pansup#01;amphitheater;hadrianic;130;110;;68;50;;;;;;austria;48.1269;16.8927;165;1981_benario
carnuntum_i;;pansup#1;#123;pansup#01;amphitheater;hadrianic;129;113;;66;50;;;;;13000;austria;48.1269;16.8927;165;2016_sfsheath_com
carnuntum_i;;pansup#1;#123;pansup#01;amphitheater;hadrianic;;;;68;50;;;;;;austria;48.1269;16.8927;165;2011_amphitheatrum_de
carnuntum_i;;pansup#1;#123;pansup#01;amphitheater;hadrianic;127.5;111;;68;52;;;;;13000;austria;48.1269;16.8927;165;2020_wikipedia_fr
carnuntum_ii;;pansup#2;#122;pansup#02;amphitheater;tiberian;98;76;5849.64;;;2512.06;;;3337.58;10728;austria;48.11;16.850944;185;2019_hackett
carnuntum_ii;;pansup#2;#122;pansup#02;amphitheater;tiberian;99.5;81.5;;71;43;;;;;8000;austria;48.11;16.850944;185;2016_sfsheath_com
carnuntum_ii;;pansup#2;#122;pansup#02;amphitheater;tiberian;99.7;75.25;;72.2;44.3;;;;;;austria;48.11;16.850944;185;2011_amphitheatrum_de
carnuntum_ii;;pansup#2;#122;pansup#02;amphitheater;tiberian;97.55;76.4;;72;44;;;;;8000;austria;48.11;16.850944;185;2020_wikipedia_de
scarbantia;;pansup#3;;pansup#03;amphitheater;2nd_century;;;;;;2078.16;;;;;hungary;47.693;16.589;236;2019_hackett
carnuntum_ludus;;;;pansup#04;practice_arena;undated;;;;19;19;;;;;;austria;;;;2011_amphitheatrum_de
