place;phase;hackett_class;golvin_class;vasa_class;t_building;dinasty_gr;overall_max;overall_min;overall_m2;arena_max;arena_min;arena_m2;cavea_wide;cavea_height;cavea_m2;seat_est;mod_country;lat;long;elevation_m;bib
catana;;sici#1;;sic#01;amphitheater;2nd_century;125;105;;71;51;;;;;;italy;37.507096;15.085323;33;1981_benario
catana;;sici#1;;sic#01;amphitheater;2nd_century;143.8;121;13665.77;;;3713.46;;;9952.31;31990;italy;37.507096;15.085323;33;2019_hackett
catana;;sici#1;;sic#01;amphitheater;2nd_century;144;121;;81;58;;;;9995;;italy;37.507096;15.085323;33;2016_stelius
catana;;sici#1;;sic#01;amphitheater;2nd_century;90;70;;52;38;;;;;16000;italy;37.507096;15.085323;33;2016_sfsheath_com
catana;;sici#1;;sic#01;amphitheater;2nd_century;125;105;;71;51;;;;;;italy;37.507096;15.085323;33;2011_amphitheatrum_de
catana;;sici#1;;sic#01;amphitheater;2nd_century;136;114.5;;76.7;55;;;;;;italy;37.507096;15.085323;33;2011_amphitheatrum_de
catana;;sici#1;;sic#01;amphitheater;2nd_century;143.8;121;;81.1;58.3;;;;;;italy;37.507096;15.085323;33;2011_amphitheatrum_de
catana;;sici#1;;sic#01;amphitheater;2nd_century;;;;;;;;;;15000;italy;37.507096;15.085323;33;1981_honle
catana;;sici#1;;sic#01;amphitheater;2nd_century;125;105;;70;50;;;;;15000;italy;37.507096;15.085323;33;2020_wikipedia_it
syracusae;;sici#2;#83;sic#02;amphitheater;augustan;140;119;;70;40;;;;;;italy;37.074132;15.278934;12;1981_benario
syracusae;;sici#2;#83;sic#02;amphitheater;augustan;146.8;118.7;13685.68;;;2176.38;;;11509.3;36994;italy;37.074132;15.278934;12;2019_hackett
syracusae;;sici#2;#83;sic#02;amphitheater;augustan;147;119;;70;39;;;;11595;;italy;37.074132;15.278934;12;2016_stelius
syracusae;;sici#3;#83;sic#02;amphitheater;augustan;146.8;118.7;;69.8;39.7;;;;28773;;italy;37.074132;15.278934;12;2016_sfsheath_com
syracusae;;sici#2;#83;sic#02;amphitheater;augustan;141;118.5;;69.3;39.2;;;;;;italy;37.074132;15.278934;12;2011_amphitheatrum_de
syracusae;;sici#2;#83;sic#02;amphitheater;augustan;145;115;;69.8;39.7;;;;;;italy;37.074132;15.278934;12;2011_amphitheatrum_de
syracusae;;sici#2;#83;sic#02;amphitheater;augustan;140;119;;;;;;;;;italy;37.074132;15.278934;12;2011_amphitheatrum_de
syracusae;;sici#2;#83;sic#02;amphitheater;augustan;146.8;118.7;;69.8;39.2;;;;;;italy;37.074132;15.278934;12;2011_amphitheatrum_de
syracusae;;sici#2;#83;sic#02;amphitheater;augustan;140;119;;;;;;;;20000;italy;37.074132;15.278934;12;2020_wikipedia_it
thermae_himerae;phs_i;sici#3;#164;sic#03;amphitheater;flavian;87;66;;51;30;;;;3308;;italy;37.987294;13.693653;78;2016_stelius
thermae_himerae;phs_i;sici#3;#164;sic#03;amphitheater;flavian;87;66;4509.75;;;1201.65;;;3308.1;10633;italy;37.987294;13.693653;78;2019_hackett
thermae_himerae;phs_i;sici#3;#164;sic#03;amphitheater;flavian;84;61;;51;30;;;;;;italy;37.987294;13.693653;78;2011_amphitheatrum_de
thermae_himerae;phs_i;sici#3;#164;sic#03;amphitheater;flavian;87;66;;51;30;;;;;;italy;37.987294;13.693653;78;2011_amphitheatrum_de
thermae_himerae;phs_ii;sici#4;#164;sic#04;amphitheater;flavian;98;75;;53;30;;;;;;italy;37.987294;13.693653;78;2020_wikipedia_it
thermae_himerae;phs_ii;sici#4;#164;sic#04;amphitheater;flavian;98;75;5772.67;;;1201.65;;;4571.02;14693;italy;37.987294;13.693653;78;2019_hackett
thermae_himerae;phs_ii;sici#4;#164;sic#04;amphitheater;flavian;98;75;;53;30;;;;;;italy;37.987294;13.693653;78;2016_sfsheath_com
thermae_himerae;phs_ii;sici#4;#164;sic#04;amphitheater;flavian;98;75;;53;30;;;;;;italy;37.987294;13.693653;78;2011_amphitheatrum_de
thermae_himerae;phs_ii;sici#4;#164;sic#04;amphitheater;flavian;99;75.5;;54;30;;;;;;italy;37.987294;13.693653;78;2011_amphitheatrum_de
